Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
FC Empoli,Sergio Almirón,23,Argentina,Central Midfield,CM,-,Udinese Calcio,Italy,£1.98m,In,2004,s,serie-b,https://www.transfermarkt.co.uk/sergio-almiron/profil/spieler/5890
FC Empoli,Siyabonga Nomvethe,26,South Africa,Centre-Forward,CF,-,Udinese Calcio,Italy,loan transfer,In,2004,s,serie-b,https://www.transfermarkt.co.uk/siyabonga-nomvethe/profil/spieler/5902
FC Empoli,Ighli Vannucchi,27,Italy,Attacking Midfield,AM,£450Th.,US Palermo,Italy,?,In,2004,s,serie-b,https://www.transfermarkt.co.uk/ighli-vannucchi/profil/spieler/6022
FC Empoli,Francesco D'Aniello,24,Italy,Central Midfield,CM,-,US Salernitana,Italy,?,In,2004,s,serie-b,https://www.transfermarkt.co.uk/francesco-daniello/profil/spieler/6019
FC Empoli,Richard Vanigli,33,Italy,Right-Back,RB,-,AS Livorno,Italy,?,In,2004,s,serie-b,https://www.transfermarkt.co.uk/richard-vanigli/profil/spieler/21190
FC Empoli,Zlatko Dedic,19,Slovenia,Centre-Forward,CF,-,Parma FC,Italy,loan transfer,In,2004,s,serie-b,https://www.transfermarkt.co.uk/zlatko-dedic/profil/spieler/28835
FC Empoli,Davide Moro,22,Italy,Central Midfield,CM,-,Varese 1910,Italy,?,In,2004,s,serie-b,https://www.transfermarkt.co.uk/davide-moro/profil/spieler/28841
FC Empoli,Mirko Bertoncini,18,Italy,defence,defence,-,Empoli Primavera,Italy,-,In,2004,s,serie-b,https://www.transfermarkt.co.uk/mirko-bertoncini/profil/spieler/29600
FC Empoli,Vincenzo Pellecchia,18,Italy,attack,attack,-,Empoli Primavera,Italy,-,In,2004,s,serie-b,https://www.transfermarkt.co.uk/vincenzo-pellecchia/profil/spieler/29618
FC Empoli,Andrea Coda,19,Italy,Centre-Back,CB,-,Empoli Primavera,Italy,-,In,2004,s,serie-b,https://www.transfermarkt.co.uk/andrea-coda/profil/spieler/28833
FC Empoli,Emanuel Michelotti,19,Italy,Left-Back,LB,-,Empoli Primavera,Italy,-,In,2004,s,serie-b,https://www.transfermarkt.co.uk/emanuel-michelotti/profil/spieler/144343
FC Empoli,Manuel Caponi,17,Italy,Attacking Midfield,AM,-,Empoli Primavera,Italy,-,In,2004,s,serie-b,https://www.transfermarkt.co.uk/manuel-caponi/profil/spieler/7788
FC Empoli,Niky Agnorelli,18,Italy,Defensive Midfield,DM,-,Empoli Primavera,Italy,-,In,2004,s,serie-b,https://www.transfermarkt.co.uk/niky-agnorelli/profil/spieler/107555
FC Empoli,Francesco Lodi,20,Italy,Defensive Midfield,DM,-,Vicenza Calcio,Italy,"End of loanJun 30, 2004",In,2004,s,serie-b,https://www.transfermarkt.co.uk/francesco-lodi/profil/spieler/6033
