Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Modena FC,Marco Ballotta,37,Italy,Goalkeeper,GK,-,FC Internazionale,Italy,free transfer,In,2001,s,serie-b,https://www.transfermarkt.co.uk/marco-ballotta/profil/spieler/6034
Modena FC,Adriano Zancopè,29,Italy,Goalkeeper,GK,-,Calcio Catania,Italy,free transfer,In,2001,s,serie-b,https://www.transfermarkt.co.uk/adriano-zancope/profil/spieler/6035
Modena FC,Amadou Sanokho,21,France,Defensive Midfield,DM,-,FC Nantes B,France,free transfer,In,2001,s,serie-b,https://www.transfermarkt.co.uk/amadou-sanokho/profil/spieler/24796
Modena FC,Roberto Cevoli,32,San Marino,Centre-Back,CB,-,AC Cesena,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/roberto-cevoli/profil/spieler/6040
Modena FC,Giovanni Orfei,25,Italy,Centre-Back,CB,-,Calcio Catania,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/giovanni-orfei/profil/spieler/6048
Modena FC,Stefano Mauri,21,Italy,Attacking Midfield,AM,-,AC Meda 1913,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/stefano-mauri/profil/spieler/6043
Modena FC,Enrico Fantini,25,Italy,Centre-Forward,CF,-,Chievo Verona,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/enrico-fantini/profil/spieler/21149
Modena FC,Emiliano Tarana,22,Italy,Right Winger,RW,-,AC Perugia,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/emiliano-tarana/profil/spieler/21803
Modena FC,Andrea Rabito,21,Italy,Right Winger,RW,-,Milan AC,Italy,loan transfer,In,2001,s,serie-b,https://www.transfermarkt.co.uk/andrea-rabito/profil/spieler/21765
Modena FC,Mauro Zironelli,31,Italy,midfield,midfield,-,Chievo Verona,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/mauro-zironelli/profil/spieler/314705
Modena FC,Maurizio Domizzi,21,Italy,Centre-Back,CB,-,Milan AC,Italy,loan transfer,In,2001,s,serie-b,https://www.transfermarkt.co.uk/maurizio-domizzi/profil/spieler/6750
Modena FC,Diomansy Kamara,20,Senegal,Right Winger,RW,-,Chievo Verona,Italy,loan transfer,In,2001,s,serie-b,https://www.transfermarkt.co.uk/diomansy-kamara/profil/spieler/6053
SSC Napoli,Gianluca Luppi,34,Italy,Centre-Back,CB,-,AC Venezia 1907,Italy,free transfer,In,2001,s,serie-b,https://www.transfermarkt.co.uk/gianluca-luppi/profil/spieler/222791
SSC Napoli,Mattia Graffiedi,21,Italy,Centre-Forward,CF,-,Milan AC,Italy,loan transfer,In,2001,s,serie-b,https://www.transfermarkt.co.uk/mattia-graffiedi/profil/spieler/6395
SSC Napoli,Raffaele Ametrano,28,Italy,Right-Back,RB,-,FC Crotone,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/raffaele-ametrano/profil/spieler/20896
SSC Napoli,Matteo Villa,31,Italy,Centre-Back,CB,-,Cagliari Calcio,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/matteo-villa/profil/spieler/21964
SSC Napoli,Domenico Cristiano,25,Italy,Defensive Midfield,DM,-,US Salernitana,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/domenico-cristiano/profil/spieler/22314
SSC Napoli,Youssouf Kamara,19,Cote d'Ivoire,Centre-Forward,CF,-,AC Bellinzona,Switzerland,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/youssouf-kamara/profil/spieler/79946
SSC Napoli,Bruno Di Napoli,21,Italy,Central Midfield,CM,-,AC Campobasso,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/bruno-di-napoli/profil/spieler/104991
SSC Napoli,Giuseppe Alessi,24,Italy,Attacking Midfield,AM,-,AS Livorno,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/giuseppe-alessi/profil/spieler/42116
SSC Napoli,Luigi Numerato,21,Italy,midfield,midfield,-,FC Giugliano 1928,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/luigi-numerato/profil/spieler/336192
SSC Napoli,Marco Roccati,26,Italy,Goalkeeper,GK,-,Dundee FC,Scotland,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/marco-roccati/profil/spieler/6817
SSC Napoli,Paquito,19,Brazil,Central Midfield,CM,-,US Ravenna,Italy,"End of loanJul 1, 2001",In,2001,s,serie-b,https://www.transfermarkt.co.uk/paquito/profil/spieler/19817
SSC Napoli,Massimo Rastelli,32,Italy,Right Winger,RW,-,Piacenza FC,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/massimo-rastelli/profil/spieler/6077
SSC Napoli,Fábio César Montezine,22,Qatar,Left Midfield,LM,-,Udinese Calcio,Italy,loan transfer,In,2001,s,serie-b,https://www.transfermarkt.co.uk/fabio-cesar-montezine/profil/spieler/32099
SSC Napoli,Marco Quadrini,22,Italy,Right-Back,RB,-,US Palermo,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/marco-quadrini/profil/spieler/227780
SSC Napoli,Massimo Russo,19,Italy,Left-Back,LB,-,Napoli Primavera,Italy,-,In,2001,s,serie-b,https://www.transfermarkt.co.uk/massimo-russo/profil/spieler/104998
SSC Napoli,Gaetano Vallefuoco,19,Italy,attack,attack,-,Napoli Primavera,Italy,-,In,2001,s,serie-b,https://www.transfermarkt.co.uk/gaetano-vallefuoco/profil/spieler/602617
SSC Napoli,Giorgio Di Vicino,20,Italy,Attacking Midfield,AM,-,FC Crotone,Italy,"End of loanJun 30, 2001",In,2001,s,serie-b,https://www.transfermarkt.co.uk/giorgio-di-vicino/profil/spieler/6426
SSC Napoli,Raffaele Gragnaniello,20,Italy,Goalkeeper,GK,-,FC Puteolana 1902,Italy,"End of loanJun 30, 2001",In,2001,s,serie-b,https://www.transfermarkt.co.uk/raffaele-gragnaniello/profil/spieler/61354
SSC Napoli,Ciro Caruso,27,Italy,Centre-Back,CB,-,FC Sporting Benevento,Italy,"End of loanJun 30, 2001",In,2001,s,serie-b,https://www.transfermarkt.co.uk/ciro-caruso/profil/spieler/228852
SSC Napoli,Ferdinando Coppola,23,Italy,Goalkeeper,GK,-,Bologna FC 1909,Italy,"End of loanJun 30, 2001",In,2001,s,serie-b,https://www.transfermarkt.co.uk/ferdinando-coppola/profil/spieler/5986
SSC Napoli,Luigi Malafronte,22,Italy,Centre-Back,CB,-,FC Sporting Benevento,Italy,"End of loanJun 30, 2001",In,2001,s,serie-b,https://www.transfermarkt.co.uk/luigi-malafronte/profil/spieler/228556
AS Cittadella Padova,Enrico Maria Amore,26,Italy,Left Winger,LW,-,Ascoli Calcio 1898,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/enrico-maria-amore/profil/spieler/55808
AS Cittadella Padova,Daniele Ruggiu,20,Italy,attack,attack,-,SS Lazio,Italy,loan transfer,In,2001,s,serie-b,https://www.transfermarkt.co.uk/daniele-ruggiu/profil/spieler/151730
AS Cittadella Padova,Fausto Pizzi,33,Italy,Attacking Midfield,AM,-,Treviso FBC 1993,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/fausto-pizzi/profil/spieler/224590
AS Cittadella Padova,Eric Boudouma,29,Morocco,midfield,midfield,-,AC Pievigina,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/eric-boudouma/profil/spieler/181853
AS Cittadella Padova,Raffaele Del Sorbo,18,Italy,defence,defence,-,,Unknown,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/raffaele-del-sorbo/profil/spieler/496279
FC Crotone,Edoardo Artistico,32,Italy,Centre-Forward,CF,-,Torino Calcio,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/edoardo-artistico/profil/spieler/29598
FC Crotone,Giuseppe Geraldi,25,Italy,Centre-Back,CB,-,AS Livorno,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/giuseppe-geraldi/profil/spieler/102533
FC Crotone,Luigi Panarelli,25,Italy,Right-Back,RB,-,Torino Calcio,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/luigi-panarelli/profil/spieler/102633
FC Crotone,Vincenzo Grillo,23,Italy,Goalkeeper,GK,-,Ragusa Calcio,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/vincenzo-grillo/profil/spieler/104742
FC Crotone,Adriano Fiore,20,Italy,Central Midfield,CM,-,Cosenza Calcio 1914,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/adriano-fiore/profil/spieler/158550
FC Crotone,Francesco Zanoncelli,33,Italy,Centre-Back,CB,-,Genoa CFC,Italy,?,In,2001,s,serie-b,https://www.transfermarkt.co.uk/francesco-zanoncelli/profil/spieler/223022
