Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Ascoli Calcio,Miguel De Alcantara,19,Brazil,Centre-Back,CB,£270Th.,FC São Paulo B,Brazil,£360Th.,In,2019,s,serie-b,https://www.transfermarkt.co.uk/miguel-de-alcantara/profil/spieler/702281
Ascoli Calcio,Mario Piccinocchi,24,Italy,Defensive Midfield,DM,£1.35m,FC Lugano,Switzerland,free transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/mario-piccinocchi/profil/spieler/206701
Ascoli Calcio,Gianluca Scamacca,20,Italy,Centre-Forward,CF,£630Th.,US Sassuolo,Italy,loan transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/gianluca-scamacca/profil/spieler/315867
Ascoli Calcio,Davide Petrucci,27,Italy,Central Midfield,CM,£90Th.,Caykur Rizespor,Turkey,free transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/davide-petrucci/profil/spieler/96798
Ascoli Calcio,Alberto Gerbo,29,Italy,Central Midfield,CM,£450Th.,Calcio Foggia 1920,Italy,free transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/alberto-gerbo/profil/spieler/88690
Ascoli Calcio,Niccolò Tofanari,21,Italy,Right-Back,RB,£90Th.,AS Gubbio 1910,Italy,free transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/niccolo-tofanari/profil/spieler/340442
Ascoli Calcio,Raffaele Pucino,28,Italy,Right-Back,RB,£315Th.,US Salernitana 1919,Italy,free transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/raffaele-pucino/profil/spieler/139307
Ascoli Calcio,Simone Padoin,35,Italy,Left Midfield,LM,£450Th.,Cagliari Calcio,Italy,free transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/simone-padoin/profil/spieler/56703
Ascoli Calcio,Petar Brlek,25,Croatia,Central Midfield,CM,£1.13m,Genoa CFC,Italy,loan transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/petar-brlek/profil/spieler/160471
Ascoli Calcio,Alessio Da Cruz,22,Netherlands,Left Winger,LW,£1.35m,Parma Calcio 1913,Italy,loan transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/alessio-da-cruz/profil/spieler/337670
Ascoli Calcio,Erick Ferigra,20,Ecuador,Centre-Back,CB,£270Th.,Torino FC,Italy,loan transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/erick-ferigra/profil/spieler/331501
Ascoli Calcio,Andreaw Gravillon,21,France,Centre-Back,CB,£4.50m,US Sassuolo,Italy,loan transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/andreaw-gravillon/profil/spieler/395083
Ascoli Calcio,Nicola Leali,26,Italy,Goalkeeper,GK,£900Th.,AC Perugia Calcio,Italy,loan transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/nicola-leali/profil/spieler/136111
Ascoli Calcio,Emanuele Maurizii,19,Italy,Left-Back,LB,-,Ascoli Picchio Primavera,Italy,-,In,2019,s,serie-b,https://www.transfermarkt.co.uk/emanuele-maurizii/profil/spieler/460002
Ascoli Calcio,Riccardo Novi,19,Italy,Goalkeeper,GK,£45Th.,Ascoli Picchio Primavera,Italy,-,In,2019,s,serie-b,https://www.transfermarkt.co.uk/riccardo-novi/profil/spieler/460010
Ascoli Calcio,Simone Paolini,22,Italy,Central Midfield,CM,£90Th.,AC Cuneo 1905,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/simone-paolini/profil/spieler/386851
Ascoli Calcio,Carte Said,22,Italy,Attacking Midfield,AM,£315Th.,AC Cuneo 1905,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/carte-said/profil/spieler/337373
Ascoli Calcio,Claudio Santini,27,Italy,Second Striker,SS,£225Th.,US Alessandria Calcio 1912,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/claudio-santini/profil/spieler/281872
Ascoli Calcio,Ismaila Diop,19,Senegal,Centre-Back,CB,£90Th.,Paganese Calcio 1926,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/ismaila-diop/profil/spieler/489756
Ascoli Calcio,Fabio Castellano,21,Italy,Central Midfield,CM,£113Th.,SS Juve Stabia,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/fabio-castellano/profil/spieler/265074
Ascoli Calcio,Vincenzo Venditti,22,Italy,Goalkeeper,GK,£23Th.,SS Juve Stabia,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/vincenzo-venditti/profil/spieler/396315
Ascoli Calcio,Edoardo Tassi,21,Italy,Centre-Forward,CF,£113Th.,Urbs Reggina 1914 ,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/edoardo-tassi/profil/spieler/347587
Ascoli Calcio,Gianmarco De Feo,25,Italy,Right Winger,RW,£180Th.,AS Lucchese Libertas,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/gianmarco-de-feo/profil/spieler/199645
Ascoli Calcio,Ivan De Santis,22,Italy,Centre-Back,CB,£270Th.,Virtus Entella,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/ivan-de-santis/profil/spieler/264485
Ascoli Calcio,Samuele Parlati,22,Italy,Central Midfield,CM,£45Th.,AS Bisceglie 1913,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/samuele-parlati/profil/spieler/362709
Ascoli Calcio,Matteo Perri,20,Italy,Left-Back,LB,£90Th.,Paganese Calcio 1926,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/matteo-perri/profil/spieler/410473
Ascoli Calcio,Tomasz Kupisz,29,Poland,Right Midfield,RM,£450Th.,AS Livorno,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/tomasz-kupisz/profil/spieler/45185
Ascoli Calcio,Gianluca Carpani,25,Italy,Central Midfield,CM,£203Th.,FC Rieti,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/gianluca-carpani/profil/spieler/288999
Ascoli Calcio,Andrea Fulignati,24,Italy,Goalkeeper,GK,£450Th.,SPAL,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/andrea-fulignati/profil/spieler/231381
Benevento Calcio,Roberto Insigne,25,Italy,Right Winger,RW,£1.44m,SSC Napoli,Italy,£1.35m,In,2019,s,serie-b,https://www.transfermarkt.co.uk/roberto-insigne/profil/spieler/200174
Benevento Calcio,Lorenzo Montipò,23,Italy,Goalkeeper,GK,£900Th.,Novara Calcio 1908,Italy,£900Th.,In,2019,s,serie-b,https://www.transfermarkt.co.uk/lorenzo-montipo/profil/spieler/241923
Benevento Calcio,Massimo Volta,32,Italy,Centre-Back,CB,£540Th.,AC Perugia Calcio,Italy,£540Th.,In,2019,s,serie-b,https://www.transfermarkt.co.uk/massimo-volta/profil/spieler/54921
Benevento Calcio,Abdallah Basit,19,Ghana,Central Midfield,CM,£113Th.,SS Arezzo,Italy,£270Th.,In,2019,s,serie-b,https://www.transfermarkt.co.uk/abdallah-basit/profil/spieler/457773
Benevento Calcio,Oliver Kragl,29,Germany,Left Midfield,LM,£1.35m,Calcio Foggia 1920,Italy,free transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/oliver-kragl/profil/spieler/56513
Benevento Calcio,Nicolò Manfredini,31,Italy,Goalkeeper,GK,£180Th.,Spezia Calcio,Italy,free transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/nicolo-manfredini/profil/spieler/139743
Benevento Calcio,Marco Sau,31,Italy,Centre-Forward,CF,£360Th.,UC Sampdoria,Italy,free transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/marco-sau/profil/spieler/55801
Benevento Calcio,Pasquale Schiattarella,32,Italy,Central Midfield,CM,£900Th.,SPAL,Italy,free transfer,In,2019,s,serie-b,https://www.transfermarkt.co.uk/pasquale-schiattarella/profil/spieler/56762
Benevento Calcio,Perparim Hetemaj,32,Finland,Central Midfield,CM,£900Th.,Chievo Verona,Italy,?,In,2019,s,serie-b,https://www.transfermarkt.co.uk/perparim-hetemaj/profil/spieler/37295
Benevento Calcio,Francesco Rillo,19,Italy,Left-Back,LB,£45Th.,Benevento Primavera,Italy,-,In,2019,s,serie-b,https://www.transfermarkt.co.uk/francesco-rillo/profil/spieler/456647
Benevento Calcio,Siriki Sanogo,17,Cote d'Ivoire,Central Midfield,CM,-,Benevento Primavera,Italy,-,In,2019,s,serie-b,https://www.transfermarkt.co.uk/siriki-sanogo/profil/spieler/539612
Benevento Calcio,Giuseppe Di Serio,17,Italy,Centre-Forward,CF,-,Benevento Primavera,Italy,-,In,2019,s,serie-b,https://www.transfermarkt.co.uk/giuseppe-di-serio/profil/spieler/532040
Benevento Calcio,Salvatore Tazza,21,Italy,Right-Back,RB,£90Th.,Paganese Calcio 1926,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/salvatore-tazza/profil/spieler/330549
Benevento Calcio,Alessio Donnarumma,21,Italy,Central Midfield,CM,£68Th.,US Vibonese,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/alessio-donnarumma/profil/spieler/315845
Benevento Calcio,Pietro Iemmello,27,Italy,Centre-Forward,CF,£1.80m,Foggia Calcio,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/pietro-iemmello/profil/spieler/62735
Benevento Calcio,Antonio Cotticelli,21,Italy,Goalkeeper,GK,£23Th.,SS Juve Stabia,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/antonio-cotticelli/profil/spieler/339562
Benevento Calcio,Biagio Filogamo,21,Italy,Centre-Forward,CF,£23Th.,US Vibonese,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/biagio-filogamo/profil/spieler/462799
Benevento Calcio,Jean-Claude Billong,25,France,Centre-Back,CB,£810Th.,Foggia Calcio,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/jean-claude-billong/profil/spieler/391192
Benevento Calcio,Luca Sparandeo,19,Italy,Centre-Back,CB,£68Th.,AS Viterbese Castrense,Italy,"End of loanJun 30, 2019",In,2019,s,serie-b,https://www.transfermarkt.co.uk/luca-sparandeo/profil/spieler/355924
Chievo Verona,Manuel Pucciarelli,28,Italy,Second Striker,SS,£1.80m,FC Empoli,Italy,£3.38m,In,2019,s,serie-b,https://www.transfermarkt.co.uk/manuel-pucciarelli/profil/spieler/163683
Chievo Verona,David Ivan,24,Slovakia,Central Midfield,CM,£225Th.,UC Sampdoria,Italy,£810Th.,In,2019,s,serie-b,https://www.transfermarkt.co.uk/david-ivan/profil/spieler/168416
