Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
FC Messina Peloro,Ermanno Fumagalli,20,Italy,Goalkeeper,GK,-,US Fiorenzuola 1922,Italy,free transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/ermanno-fumagalli/profil/spieler/104993
FC Messina Peloro,Amauri,22,Italy,Centre-Forward,CF,-,FC Empoli,Italy,Loan fee:£14Th.,In,2002,s,serie-b,https://www.transfermarkt.co.uk/amauri/profil/spieler/6234
FC Messina Peloro,Cristiano Pavone,30,Italy,Left-Back,LB,-,Como Calcio,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/cristiano-pavone/profil/spieler/199923
FC Messina Peloro,Francesco Grieco,19,Italy,attack,attack,-,Ascoli Calcio 1898,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/francesco-grieco/profil/spieler/421573
FC Messina Peloro,Salvatore Vicari,21,Italy,Right Midfield,RM,-,Reggina Calcio,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/salvatore-vicari/profil/spieler/24333
FC Messina Peloro,Emanuele Calaiò,20,Italy,Centre-Forward,CF,-,Torino Calcio,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/emanuele-calaio/profil/spieler/22268
FC Messina Peloro,Riccardo Zampagna,27,Italy,Centre-Forward,CF,-,Robur Siena,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/riccardo-zampagna/profil/spieler/20895
FC Messina Peloro,Anthony Verì,24,Italy,Goalkeeper,GK,-,US Salernitana,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/anthony-veri/profil/spieler/295918
FC Messina Peloro,Vasco Morelli,22,Italy,Defensive Midfield,DM,-,ASD Rondinella Marzocco,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/vasco-morelli/profil/spieler/483315
FC Messina Peloro,Francesco Bellucci,29,Italy,Centre-Back,CB,-,Treviso FBC 1993,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/francesco-bellucci/profil/spieler/223334
FC Messina Peloro,Nicola Princivalli,22,Italy,Central Midfield,CM,-,US Triestina,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/nicola-princivalli/profil/spieler/19273
FC Messina Peloro,Vincenzo Silvestri,26,Italy,midfield,midfield,-,US Avellino,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/vincenzo-silvestri/profil/spieler/139502
FC Messina Peloro,Giuseppe Russo,19,Italy,Central Midfield,CM,-,FC Crotone,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/giuseppe-russo/profil/spieler/30657
FC Messina Peloro,Francesco Favasuli,18,Italy,Defensive Midfield,DM,-,AC Locri 1909,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/francesco-favasuli/profil/spieler/103371
FC Messina Peloro,Simone Cavalli,23,Italy,Centre-Forward,CF,-,AC Città di Lecco,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/simone-cavalli/profil/spieler/24301
FC Messina Peloro,Riccardo Corallo,22,Italy,Centre-Back,CB,-,US Avellino,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/riccardo-corallo/profil/spieler/22313
FC Messina Peloro,Raffaele Ametrano,29,Italy,Right-Back,RB,-,SSC Napoli,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/raffaele-ametrano/profil/spieler/20896
FC Messina Peloro,Fabio Bellotti,30,Italy,midfield,midfield,-,AC Cesena,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/fabio-bellotti/profil/spieler/286770
FC Messina Peloro,Davide Tedoldi,26,Italy,Right Midfield,RM,-,US Avellino,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/davide-tedoldi/profil/spieler/39685
FC Messina Peloro,Donato Terrevoli,33,Italy,midfield,midfield,-,US Catanzaro,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/donato-terrevoli/profil/spieler/431894
SSC Napoli,Davide Dionigi,28,Italy,Centre-Forward,CF,-,Reggina Calcio,Italy,£1.80m,In,2002,s,serie-b,https://www.transfermarkt.co.uk/davide-dionigi/profil/spieler/28015
SSC Napoli,Marco Storari,25,Italy,Goalkeeper,GK,-,Ancona Calcio,Italy,£855Th.,In,2002,s,serie-b,https://www.transfermarkt.co.uk/marco-storari/profil/spieler/19136
SSC Napoli,Giampiero Buonocore,18,Italy,Central Midfield,CM,-,ASG Nocerina,Italy,£270Th.,In,2002,s,serie-b,https://www.transfermarkt.co.uk/giampiero-buonocore/profil/spieler/228941
SSC Napoli,Carlos Pavón,28,Honduras,Centre-Forward,CF,-,Udinese Calcio,Italy,free transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/carlos-pavon/profil/spieler/35362
SSC Napoli,Fábio César Montezine,23,Qatar,Left Midfield,LM,-,Udinese Calcio,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/fabio-cesar-montezine/profil/spieler/32099
SSC Napoli,Claudio Ferrarese,23,Italy,Right Winger,RW,-,AS Cittadella Padova,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/claudio-ferrarese/profil/spieler/28852
SSC Napoli,Mariano Stendardo,19,Italy,Centre-Back,CB,-,Napoli Primavera,Italy,-,In,2002,s,serie-b,https://www.transfermarkt.co.uk/mariano-stendardo/profil/spieler/24331
SSC Napoli,Francesco Baldini,28,Italy,Centre-Back,CB,-,Reggina Calcio,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/francesco-baldini/profil/spieler/21901
SSC Napoli,Claudio Husaín,27,Argentina,Defensive Midfield,DM,-,Club Atlético River Plate,Argentina,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/claudio-husain/profil/spieler/3416
SSC Napoli,Bruno Di Napoli,22,Italy,Central Midfield,CM,-,Castel di Sangro Calcio,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/bruno-di-napoli/profil/spieler/104991
SSC Napoli,Massimo Russo,20,Italy,Left-Back,LB,-,FC Puteolana 1902,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/massimo-russo/profil/spieler/104998
SSC Napoli,Pietro De Giorgio,19,Italy,Left Winger,LW,-,San Marino,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/pietro-de-giorgio/profil/spieler/102750
US Triestina,Alessandro Budel,21,Italy,Defensive Midfield,DM,-,Spezia Calcio 1906,Italy,£180Th.,In,2002,s,serie-b,https://www.transfermarkt.co.uk/alessandro-budel/profil/spieler/25314
US Triestina,Jehad Muntasser,23,Libya,Right Midfield,RM,-,Calcio Catania,Italy,free transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/jehad-muntasser/profil/spieler/21943
US Triestina,Sebastian Berko,18,Slovenia,Centre-Back,CB,-,NK Maribor,Slovenia,free transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/sebastian-berko/profil/spieler/21908
US Triestina,Michele Ferri,21,Italy,Centre-Back,CB,-,AC Cesena,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/michele-ferri/profil/spieler/20920
US Triestina,Nicola Zanini,28,Italy,Attacking Midfield,AM,-,Como Calcio,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/nicola-zanini/profil/spieler/22218
US Triestina,Francesco Bega,27,Italy,Centre-Back,CB,-,Como Calcio,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/francesco-bega/profil/spieler/21904
US Triestina,Andrea Gentile,22,Italy,Central Midfield,CM,-,Juventus FC,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/andrea-gentile/profil/spieler/19220
US Triestina,Dino Fava,25,Italy,Centre-Forward,CF,-,Varese FC,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/dino-fava/profil/spieler/15418
US Triestina,Matteo Beretta,24,Italy,Centre-Forward,CF,-,UC AlbinoLeffe,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/matteo-beretta/profil/spieler/85467
US Triestina,Domenico Maietta,19,Italy,Centre-Back,CB,-,L'Aquila Calcio,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/domenico-maietta/profil/spieler/22140
US Triestina,Alessandro Cossa,25,Italy,attack,attack,-,,Unknown,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/alessandro-cossa/profil/spieler/600215
US Triestina,Filippo Medri,31,Italy,Centre-Back,CB,-,Ternana Calcio,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/filippo-medri/profil/spieler/21938
Cosenza Calcio 1914,Giuseppe Perrone,27,Italy,Centre-Forward,CF,-,US Pistoiese 1921,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/giuseppe-perrone/profil/spieler/165455
Cosenza Calcio 1914,Andrea Luciani,20,Italy,midfield,midfield,-,US Salernitana,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/andrea-luciani/profil/spieler/151722
Cosenza Calcio 1914,Alfredo Cardinale,26,Italy,Central Midfield,CM,-,FC Crotone,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/alfredo-cardinale/profil/spieler/22133
Cosenza Calcio 1914,Nicola Pagani,24,Italy,defence,defence,-,Fermana Calcio 1920,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/nicola-pagani/profil/spieler/742953
Cosenza Calcio 1914,Marco Scarnato,20,Italy,midfield,midfield,-,Rossanese ASD,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/marco-scarnato/profil/spieler/160863
Cosenza Calcio 1914,Francesco Piemontese,18,Italy,Centre-Forward,CF,-,Rossanese ASD,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/francesco-piemontese/profil/spieler/296405
Cosenza Calcio 1914,Manuel Parla,21,Italy,defence,defence,-,AS Gubbio 1910,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/manuel-parla/profil/spieler/579852
Cosenza Calcio 1914,Paolo Zirafa,28,Italy,attack,attack,-,US Alessandria Calcio,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/paolo-zirafa/profil/spieler/287369
Cosenza Calcio 1914,Alessandro Occhiuzzi,19,Italy,Goalkeeper,GK,-,AS Materasassi,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/alessandro-occhiuzzi/profil/spieler/296767
Cosenza Calcio 1914,Davide Tedoldi,26,Italy,Right Midfield,RM,-,FC Messina Peloro,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/davide-tedoldi/profil/spieler/39685
Cosenza Calcio 1914,Stefano Casale,31,Italy,Right Midfield,RM,-,Reggina Calcio,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/stefano-casale/profil/spieler/226061
Cosenza Calcio 1914,Stefano Guidoni,30,Italy,attack,attack,-,US Palermo,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/stefano-guidoni/profil/spieler/25496
Cosenza Calcio 1914,Federico Agliardi,19,Italy,Goalkeeper,GK,-,Brescia Calcio,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/federico-agliardi/profil/spieler/16888
Cosenza Calcio 1914,Marco Aurelio,35,Brazil,Centre-Back,CB,-,US Palermo,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/marco-aurelio/profil/spieler/172528
Cosenza Calcio 1914,Vincenzo Catalano,18,Italy,Defensive Midfield,DM,-,Rossanese ASD,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/vincenzo-catalano/profil/spieler/123752
Cosenza Calcio 1914,Emanuele Catania,21,Italy,Right Winger,RW,-,ASD Acireale Calcio,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/emanuele-catania/profil/spieler/140423
Cosenza Calcio 1914,Rocco Sabato,20,Italy,Left-Back,LB,-,US Fiorenzuola 1922,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/rocco-sabato/profil/spieler/20747
Cosenza Calcio 1914,Fabio Alteri,24,Italy,attack,attack,-,AS Livorno,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/fabio-alteri/profil/spieler/22289
Cosenza Calcio 1914,Nicola Carlo Pagani,24,Italy,Centre-Back,CB,-,Reggina Calcio,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/nicola-carlo-pagani/profil/spieler/43225
Cosenza Calcio 1914,Maurizio Lanzaro,20,Italy,Centre-Back,CB,-,US Palermo,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/maurizio-lanzaro/profil/spieler/6852
Cosenza Calcio 1914,Luigi Consonni,25,Italy,Central Midfield,CM,-,US Pistoiese 1921,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/luigi-consonni/profil/spieler/30627
Cosenza Calcio 1914,Stefano De Angelis,28,Italy,Left-Back,LB,-,Cagliari Calcio,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/stefano-de-angelis/profil/spieler/21970
Cosenza Calcio 1914,Giovanni Paschetta,27,Italy,Centre-Back,CB,-,AS Cittadella Padova,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/giovanni-paschetta/profil/spieler/22121
Cosenza Calcio 1914,Francesco Ripa,28,Italy,Goalkeeper,GK,-,AC Pisa 1909,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/francesco-ripa/profil/spieler/102397
Cosenza Calcio 1914,Silvio Vertullo,21,Italy,defence,defence,-,ASG Nocerina,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/silvio-vertullo/profil/spieler/317123
Cosenza Calcio 1914,Daniele Morante,22,Italy,Centre-Forward,CF,-,Treviso FBC 1993,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/daniele-morante/profil/spieler/84548
Vicenza Calcio,Franco Semioli,22,Italy,Right Winger,RW,-,Torino Calcio,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/franco-semioli/profil/spieler/6154
Vicenza Calcio,Andrea Campagnolo,24,Italy,Goalkeeper,GK,-,Genoa CFC,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/andrea-campagnolo/profil/spieler/21913
Vicenza Calcio,Roberto Bordin,37,Italy,Defensive Midfield,DM,-,Spezia Calcio 1906,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/roberto-bordin/profil/spieler/199545
Vicenza Calcio,Roberto Colacone,28,Italy,Second Striker,SS,-,Como Calcio,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/roberto-colacone/profil/spieler/22312
Vicenza Calcio,Marco Veronese,26,Italy,Centre-Forward,CF,-,Chievo Verona,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/marco-veronese/profil/spieler/7105
Vicenza Calcio,Luca Rigoni,17,Italy,Central Midfield,CM,-,Vicenza Primavera,Italy,-,In,2002,s,serie-b,https://www.transfermarkt.co.uk/luca-rigoni/profil/spieler/22210
Vicenza Calcio,Cristian Adami,26,Italy,Right-Back,RB,-,AC Venezia 1907,Italy,"End of loanJun 30, 2003",In,2002,s,serie-b,https://www.transfermarkt.co.uk/cristian-adami/profil/spieler/21875
Vicenza Calcio,Julio González,20,Paraguay,Centre-Forward,CF,-,Club Atlético Huracán,Argentina,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/julio-gonzalez/profil/spieler/22198
Vicenza Calcio,Juri Tamburini,24,Italy,Left-Back,LB,-,US Salernitana,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/juri-tamburini/profil/spieler/28848
Vicenza Calcio,Jeda,23,Brazil,Second Striker,SS,-,Robur Siena,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/jeda/profil/spieler/21773
Vicenza Calcio,Vincenzo Sommese,26,Italy,Right Winger,RW,-,Piacenza FC,Italy,"End of loanJun 30, 2002",In,2002,s,serie-b,https://www.transfermarkt.co.uk/vincenzo-sommese/profil/spieler/16854
Calcio Catania,Luis Oliveira,33,Belgium,Centre-Forward,CF,-,Como Calcio,Italy,£450Th.,In,2002,s,serie-b,https://www.transfermarkt.co.uk/luis-oliveira/profil/spieler/22087
Calcio Catania,Guly,20,Brazil,Attacking Midfield,AM,-,Associação Atlética Portuguesa (SP),Brazil,£450Th.,In,2002,s,serie-b,https://www.transfermarkt.co.uk/guly/profil/spieler/22801
Calcio Catania,Nazario Pignotti,27,Italy,Left-Back,LB,-,Castel di Sangro Calcio,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/nazario-pignotti/profil/spieler/156517
Calcio Catania,Alessandro Del Grosso,30,Italy,Right-Back,RB,-,US Salernitana,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/alessandro-del-grosso/profil/spieler/88317
Calcio Catania,Massimo Demartis,27,Italy,Centre-Back,CB,-,AC Perugia,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/massimo-demartis/profil/spieler/22315
Calcio Catania,Giovanni Martusciello,31,Italy,midfield,midfield,-,AS Cittadella Padova,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/giovanni-martusciello/profil/spieler/88163
Calcio Catania,Nassim Mendil,23,France,Centre-Forward,CF,-,Reggina Calcio,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/nassim-mendil/profil/spieler/28854
Calcio Catania,Fabio Gatti,20,Italy,Defensive Midfield,DM,-,AC Perugia,Italy,loan transfer,In,2002,s,serie-b,https://www.transfermarkt.co.uk/fabio-gatti/profil/spieler/22804
Calcio Catania,Aboubacar Sankharé,24,France,Left-Back,LB,-,US Créteil-Lusitanos,France,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/aboubacar-sankhare/profil/spieler/8631
Calcio Catania,Domenico Di Dio,20,Italy,Goalkeeper,GK,-,Sambenedettese Berretti,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/domenico-di-dio/profil/spieler/100134
Calcio Catania,Francesco Ingenito,31,Italy,attack,attack,-,FC Viribus Somma 100,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/francesco-ingenito/profil/spieler/482724
Calcio Catania,Pietro Fusco,30,Italy,defence,defence,-,FC Empoli,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/pietro-fusco/profil/spieler/6014
Calcio Catania,Simone Ceccobelli,20,Italy,midfield,midfield,-,US Viterbese,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/simone-ceccobelli/profil/spieler/445693
Calcio Catania,Davide Falcioni,27,Italy,Goalkeeper,GK,-,Cosenza Calcio 1914,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/davide-falcioni/profil/spieler/164738
Calcio Catania,Mark Edusei,25,Ghana,Defensive Midfield,DM,-,Cosenza Calcio 1914,Italy,?,In,2002,s,serie-b,https://www.transfermarkt.co.uk/mark-edusei/profil/spieler/21788
