Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
AC Mantova 1911,Davide Carrus,30,Italy,Defensive Midfield,DM,£900Th.,Bologna FC 1909,Italy,£90Th.,In,2009,s,serie-b,https://www.transfermarkt.co.uk/davide-carrus/profil/spieler/21145
AC Mantova 1911,Alessandro Lambrughi,22,Italy,Centre-Back,CB,-,AC Pro Sesto,Italy,free transfer,In,2009,s,serie-b,https://www.transfermarkt.co.uk/alessandro-lambrughi/profil/spieler/85484
AC Mantova 1911,Gianluca Nicco,20,Italy,Central Midfield,CM,-,US Ivrea Calcio,Italy,free transfer,In,2009,s,serie-b,https://www.transfermarkt.co.uk/gianluca-nicco/profil/spieler/120709
AC Mantova 1911,Maurizio Nassi,32,Italy,Centre-Forward,CF,£900Th.,Brescia Calcio,Italy,free transfer,In,2009,s,serie-b,https://www.transfermarkt.co.uk/maurizio-nassi/profil/spieler/82701
AC Mantova 1911,Stefano Mondini,22,Italy,Central Midfield,CM,-,AC Cesena,Italy,?,In,2009,s,serie-b,https://www.transfermarkt.co.uk/stefano-mondini/profil/spieler/34914
AC Mantova 1911,Giovanni Abate,27,Italy,Centre-Forward,CF,-,Calcio Portogruaro-Summaga,Italy,?,In,2009,s,serie-b,https://www.transfermarkt.co.uk/giovanni-abate/profil/spieler/85122
AC Mantova 1911,Marco Esposito,29,Italy,Centre-Back,CB,£765Th.,AS Bari,Italy,?,In,2009,s,serie-b,https://www.transfermarkt.co.uk/marco-esposito/profil/spieler/16849
AC Mantova 1911,Matteo Lanzoni,20,Italy,Centre-Back,CB,£45Th.,Sampdoria Primavera,Italy,loan transfer,In,2009,s,serie-b,https://www.transfermarkt.co.uk/matteo-lanzoni/profil/spieler/61785
AC Mantova 1911,Simone Malatesta,27,Italy,Centre-Forward,CF,-,FBC Unione Venezia,Italy,?,In,2009,s,serie-b,https://www.transfermarkt.co.uk/simone-malatesta/profil/spieler/85883
AC Mantova 1911,Simone Cavalli,30,Italy,Centre-Forward,CF,£630Th.,AS Bari,Italy,loan transfer,In,2009,s,serie-b,https://www.transfermarkt.co.uk/simone-cavalli/profil/spieler/24301
AC Mantova 1911,Carlo Gervasoni,27,Italy,Centre-Back,CB,£900Th.,UC AlbinoLeffe,Italy,?,In,2009,s,serie-b,https://www.transfermarkt.co.uk/carlo-gervasoni/profil/spieler/22293
AC Mantova 1911,Simone Pizzuti,18,Italy,Centre-Back,CB,-,Mantova Primavera,Italy,-,In,2009,s,serie-b,https://www.transfermarkt.co.uk/simone-pizzuti/profil/spieler/109912
AC Mantova 1911,Federico Coppiardi,20,Italy,Centre-Forward,CF,-,Mantova Primavera,Italy,-,In,2009,s,serie-b,https://www.transfermarkt.co.uk/federico-coppiardi/profil/spieler/103213
AC Mantova 1911,Alessandro Iacobucci,18,Italy,Goalkeeper,GK,-,Mantova Primavera,Italy,-,In,2009,s,serie-b,https://www.transfermarkt.co.uk/alessandro-iacobucci/profil/spieler/104290
AC Mantova 1911,Dario Passoni,35,Italy,Central Midfield,CM,£270Th.,Piacenza FC,Italy,"End of loanJun 30, 2009",In,2009,s,serie-b,https://www.transfermarkt.co.uk/dario-passoni/profil/spieler/21234
AC Mantova 1911,Christian Jidayi,22,Italy,Right-Back,RB,£45Th.,Bassano Virtus 55 ST,Italy,"End of loanJun 30, 2009",In,2009,s,serie-b,https://www.transfermarkt.co.uk/christian-jidayi/profil/spieler/42768
AC Mantova 1911,Fabrizio Avanzini,21,Italy,Central Midfield,CM,£45Th.,AC Sambonifacese,Italy,"End of loanJun 30, 2009",In,2009,s,serie-b,https://www.transfermarkt.co.uk/fabrizio-avanzini/profil/spieler/57347
