Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Calcio Padova,Thiago Cionek,26,Poland,Centre-Back,CB,£585Th.,Jagiellonia Bialystok,Poland,£360Th.,In,2012,s,serie-b,https://www.transfermarkt.co.uk/thiago-cionek/profil/spieler/79510
Calcio Padova,Marco Piccioni,36,Italy,Centre-Back,CB,£90Th.,US Sassuolo,Italy,free transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/marco-piccioni/profil/spieler/82746
Calcio Padova,Luca Anania,32,Italy,Goalkeeper,GK,£360Th.,Delfino Pescara 1936,Italy,free transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/luca-anania/profil/spieler/28007
Calcio Padova,Niccolò Galli,23,Italy,Central Midfield,CM,£180Th.,Parma FC,Italy,?,In,2012,s,serie-b,https://www.transfermarkt.co.uk/niccolo-galli/profil/spieler/56869
Calcio Padova,Rolf Feltscher,21,Venezuela,Right-Back,RB,£270Th.,Parma FC,Italy,loan transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/rolf-feltscher/profil/spieler/52590
Calcio Padova,Andrea Rispoli,23,Italy,Right Midfield,RM,£540Th.,Parma FC,Italy,loan transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/andrea-rispoli/profil/spieler/74448
Calcio Padova,Nwankwo Obiora,20,Nigeria,Defensive Midfield,DM,£810Th.,Parma FC,Italy,loan transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/nwankwo-obiora/profil/spieler/127769
Calcio Padova,Zé Eduardo,20,Brazil,Defensive Midfield,DM,£450Th.,Parma FC,Italy,loan transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/ze-eduardo/profil/spieler/70203
Calcio Padova,Federico Viviani,20,Italy,Defensive Midfield,DM,£1.35m,AS Roma,Italy,loan transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/federico-viviani/profil/spieler/165900
Calcio Padova,Alessandro De Vitis,20,Italy,Defensive Midfield,DM,£405Th.,Parma FC,Italy,loan transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/alessandro-de-vitis/profil/spieler/62725
Calcio Padova,Marco Silvestri,21,Italy,Goalkeeper,GK,£270Th.,Chievo Verona,Italy,loan transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/marco-silvestri/profil/spieler/85528
Calcio Padova,Khouma Babacar,19,Senegal,Centre-Forward,CF,£1.62m,ACF Fiorentina,Italy,loan transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/khouma-babacar/profil/spieler/124902
Calcio Padova,Pablo Granoche,28,Uruguay,Centre-Forward,CF,£900Th.,Chievo Verona,Italy,loan transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/pablo-granoche/profil/spieler/61803
Calcio Padova,Diego Farias,22,Brazil,Left Winger,LW,£405Th.,Chievo Verona,Italy,loan transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/diego-farias/profil/spieler/83877
Calcio Padova,Matteo Piccinni,26,Italy,Centre-Back,CB,£180Th.,UC AlbinoLeffe,Italy,loan transfer,In,2012,s,serie-b,https://www.transfermarkt.co.uk/matteo-piccinni/profil/spieler/85523
Calcio Padova,Luca Maniero,17,Italy,Goalkeeper,GK,£68Th.,Padova Primavera,Italy,-,In,2012,s,serie-b,https://www.transfermarkt.co.uk/luca-maniero/profil/spieler/176182
Calcio Padova,Andrea Raimondi,22,Italy,Second Striker,SS,£405Th.,SS Juve Stabia,Italy,"End of loanJun 30, 2012",In,2012,s,serie-b,https://www.transfermarkt.co.uk/andrea-raimondi/profil/spieler/85017
Calcio Padova,Jerry Mbakogu,19,Nigeria,Centre-Forward,CF,£900Th.,SS Juve Stabia,Italy,"End of loanJun 30, 2012",In,2012,s,serie-b,https://www.transfermarkt.co.uk/jerry-mbakogu/profil/spieler/130382
Calcio Padova,Daniele Vantaggiato,27,Italy,Centre-Forward,CF,-,Bologna FC 1909,Italy,"End of loanJun 30, 2012",In,2012,s,serie-b,https://www.transfermarkt.co.uk/daniele-vantaggiato/profil/spieler/22155
Calcio Padova,Andrea Boscaro,20,Italy,Centre-Back,CB,£113Th.,AC Monza Brianza,Italy,"End of loanJun 30, 2012",In,2012,s,serie-b,https://www.transfermarkt.co.uk/andrea-boscaro/profil/spieler/167312
Calcio Padova,Nicola Maniero,20,Italy,Centre-Back,CB,£45Th.,Bassano Virtus 55 ST,Italy,"End of loanJun 30, 2012",In,2012,s,serie-b,https://www.transfermarkt.co.uk/nicola-maniero/profil/spieler/163171
Calcio Padova,Vicente,23,Brazil,Defensive Midfield,DM,£135Th.,Calcio Como,Italy,"End of loanJun 30, 2012",In,2012,s,serie-b,https://www.transfermarkt.co.uk/vicente/profil/spieler/102471
Calcio Padova,Marco Gallozzi,23,Italy,Right Midfield,RM,£270Th.,FC Empoli,Italy,"End of loanJun 30, 2012",In,2012,s,serie-b,https://www.transfermarkt.co.uk/marco-gallozzi/profil/spieler/57386
Calcio Padova,Filippo Talato,20,Italy,Second Striker,SS,£45Th.,AC Monza Brianza,Italy,"End of loanJun 30, 2012",In,2012,s,serie-b,https://www.transfermarkt.co.uk/filippo-talato/profil/spieler/167335
Calcio Padova,Marc Lewandowski,23,France,attack,attack,£90Th.,AC Monza Brianza,Italy,"End of loanJun 30, 2012",In,2012,s,serie-b,https://www.transfermarkt.co.uk/marc-lewandowski/profil/spieler/85011
FC Pro Vercelli 1892,Elio De Silvestro,19,Italy,Right Winger,RW,£270Th.,Juventus Primavera,Italy,£720Th.,In,2012,s,serie-b,https://www.transfermarkt.co.uk/elio-de-silvestro/profil/spieler/136100
