Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Parma FC,Julio de León,28,Honduras,Attacking Midfield,AM,£3.15m,Genoa CFC,Italy,£3.20m,In,2008,s,serie-b,https://www.transfermarkt.co.uk/julio-de-leon/profil/spieler/6074
Parma FC,Alberto Paloschi,18,Italy,Centre-Forward,CF,£2.70m,AC Milan,Italy,£2.03m,In,2008,s,serie-b,https://www.transfermarkt.co.uk/alberto-paloschi/profil/spieler/68306
Parma FC,McDonald Mariga,21,Kenya,Defensive Midfield,DM,£1.26m,Helsingborgs IF,Sweden,£1.75m,In,2008,s,serie-b,https://www.transfermarkt.co.uk/mcdonald-mariga/profil/spieler/37124
Parma FC,Alessandro Lucarelli,30,Italy,Centre-Back,CB,£2.25m,Genoa CFC,Italy,£1.08m,In,2008,s,serie-b,https://www.transfermarkt.co.uk/alessandro-lucarelli/profil/spieler/28022
Parma FC,Magnus Troest,21,Denmark,Centre-Back,CB,£900Th.,FC Midtjylland,Denmark,£450Th.,In,2008,s,serie-b,https://www.transfermarkt.co.uk/magnus-troest/profil/spieler/37528
Parma FC,Alessandro Budel,27,Italy,Defensive Midfield,DM,£900Th.,FC Empoli,Italy,free transfer,In,2008,s,serie-b,https://www.transfermarkt.co.uk/alessandro-budel/profil/spieler/25314
Parma FC,Luca Antonelli,21,Italy,Left-Back,LB,£360Th.,AC Milan,Italy,?,In,2008,s,serie-b,https://www.transfermarkt.co.uk/luca-antonelli/profil/spieler/45565
Parma FC,Giacomo Chiazzolino,22,Italy,Central Midfield,CM,-,AC Carpenedolo,Italy,?,In,2008,s,serie-b,https://www.transfermarkt.co.uk/giacomo-chiazzolino/profil/spieler/80451
Parma FC,Gianluca Pegolo,27,Italy,Goalkeeper,GK,£720Th.,Genoa CFC,Italy,loan transfer,In,2008,s,serie-b,https://www.transfermarkt.co.uk/gianluca-pegolo/profil/spieler/21872
Parma FC,Francesco Pambianchi,19,Italy,Centre-Back,CB,£45Th.,Parma Primavera,Italy,-,In,2008,s,serie-b,https://www.transfermarkt.co.uk/francesco-pambianchi/profil/spieler/37431
Parma FC,Andrea Gasparri,19,Italy,Goalkeeper,GK,-,Parma Primavera,Italy,-,In,2008,s,serie-b,https://www.transfermarkt.co.uk/andrea-gasparri/profil/spieler/80452
Parma FC,Mattia Ferrato,18,Italy,Centre-Back,CB,-,Parma Primavera,Italy,-,In,2008,s,serie-b,https://www.transfermarkt.co.uk/mattia-ferrato/profil/spieler/56867
Parma FC,Vitali Kutuzov,28,Belarus,Centre-Forward,CF,£900Th.,AC Pisa 1909,Italy,"End of loanJun 30, 2008",In,2008,s,serie-b,https://www.transfermarkt.co.uk/vitali-kutuzov/profil/spieler/6506
Parma FC,Davide Matteini,26,Italy,Left Winger,LW,£720Th.,Vicenza Calcio,Italy,"End of loanJun 30, 2008",In,2008,s,serie-b,https://www.transfermarkt.co.uk/davide-matteini/profil/spieler/29593
Parma FC,Daniele Paponi,20,Italy,Centre-Forward,CF,£810Th.,AC Cesena,Italy,"End of loanJun 30, 2008",In,2008,s,serie-b,https://www.transfermarkt.co.uk/daniele-paponi/profil/spieler/35853
Parma FC,Filippo Savi,21,Italy,Central Midfield,CM,£360Th.,AC Arezzo,Italy,"End of loanJun 30, 2008",In,2008,s,serie-b,https://www.transfermarkt.co.uk/filippo-savi/profil/spieler/25326
Parma FC,Alberto Galuppo,22,Italy,Centre-Back,CB,£45Th.,AC Ancona,Italy,"End of loanJun 30, 2008",In,2008,s,serie-b,https://www.transfermarkt.co.uk/alberto-galuppo/profil/spieler/25320
Parma FC,Niccolò Galli,19,Italy,Central Midfield,CM,£45Th.,US Massese 1919,Italy,"End of loanJun 30, 2008",In,2008,s,serie-b,https://www.transfermarkt.co.uk/niccolo-galli/profil/spieler/56869
Parma FC,Matteo Mandorlini,19,Italy,Central Midfield,CM,£45Th.,FC Pavia 1911,Italy,"End of loanJun 30, 2008",In,2008,s,serie-b,https://www.transfermarkt.co.uk/matteo-mandorlini/profil/spieler/37410
Parma FC,Mattia Pin,20,Italy,attack,attack,-,Cuoiopelli Cappiano Romaiano,Italy,"End of loanJun 30, 2008",In,2008,s,serie-b,https://www.transfermarkt.co.uk/mattia-pin/profil/spieler/56878
FC Empoli,Lino Marzorati,21,Italy,Centre-Back,CB,£3.60m,AC Milan,Italy,£1.13m,In,2008,s,serie-b,https://www.transfermarkt.co.uk/lino-marzorati/profil/spieler/41935
FC Empoli,Adam Kokoszka,21,Poland,Centre-Back,CB,£810Th.,Wisla Kraków,Poland,£360Th.,In,2008,s,serie-b,https://www.transfermarkt.co.uk/adam-kokoszka/profil/spieler/33430
FC Empoli,Balázs Balogh,18,Hungary,Central Midfield,CM,-,Ferencvárosi TC U19,Hungary,£180Th.,In,2008,s,serie-b,https://www.transfermarkt.co.uk/balazs-balogh/profil/spieler/159367
FC Empoli,Alessandro Vinci,20,Italy,Right-Back,RB,-,AS Melfi,Italy,free transfer,In,2008,s,serie-b,https://www.transfermarkt.co.uk/alessandro-vinci/profil/spieler/84904
FC Empoli,Jorge Vargas,32,Chile,Centre-Back,CB,£1.17m,Red Bull Salzburg,Austria,free transfer,In,2008,s,serie-b,https://www.transfermarkt.co.uk/jorge-vargas/profil/spieler/6061
FC Empoli,Andrea Cupi,32,Italy,Centre-Back,CB,£360Th.,SSC Napoli,Italy,free transfer,In,2008,s,serie-b,https://www.transfermarkt.co.uk/andrea-cupi/profil/spieler/6016
