Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Calcio Padova,Elia Legati,24,Italy,Centre-Back,CB,£540Th.,AC Milan,Italy,£594Th.,In,2010,s,serie-b,https://www.transfermarkt.co.uk/elia-legati/profil/spieler/77970
Calcio Padova,Stephan El Shaarawy,17,Italy,Left Winger,LW,£540Th.,Genoa CFC,Italy,loan transfer,In,2010,s,serie-b,https://www.transfermarkt.co.uk/stephan-el-shaarawy/profil/spieler/94529
Calcio Padova,José Crespo,23,Spain,Centre-Back,CB,£1.08m,Sevilla FC,Spain,free transfer,In,2010,s,serie-b,https://www.transfermarkt.co.uk/jose-crespo/profil/spieler/37397
Calcio Padova,Ronaldo,20,Brazil,Defensive Midfield,DM,£45Th.,AC Mantova,Italy,free transfer,In,2010,s,serie-b,https://www.transfermarkt.co.uk/ronaldo/profil/spieler/146660
Calcio Padova,Marco Gallozzi,22,Italy,Right Midfield,RM,£180Th.,Foligno Calcio,Italy,free transfer,In,2010,s,serie-b,https://www.transfermarkt.co.uk/marco-gallozzi/profil/spieler/57386
Calcio Padova,Antonio Esposito,19,Italy,Left Midfield,LM,£135Th.,Inter Milan Primavera,Italy,loan transfer,In,2010,s,serie-b,https://www.transfermarkt.co.uk/antonio-esposito/profil/spieler/75299
Calcio Padova,Davide Di Gennaro,22,Italy,Attacking Midfield,AM,£1.98m,AC Milan,Italy,loan transfer,In,2010,s,serie-b,https://www.transfermarkt.co.uk/davide-di-gennaro/profil/spieler/52136
Calcio Padova,Daniel Cappelletti,18,Italy,Centre-Back,CB,£45Th.,Palermo Juniores,Italy,loan transfer,In,2010,s,serie-b,https://www.transfermarkt.co.uk/daniel-cappelletti/profil/spieler/130380
Calcio Padova,Vicente,21,Brazil,Defensive Midfield,DM,£225Th.,Calcio Portogruaro-Summaga,Italy,?,In,2010,s,serie-b,https://www.transfermarkt.co.uk/vicente/profil/spieler/102471
Calcio Padova,Davide Succi,28,Italy,Centre-Forward,CF,£1.44m,US Palermo,Italy,loan transfer,In,2010,s,serie-b,https://www.transfermarkt.co.uk/davide-succi/profil/spieler/29208
Calcio Padova,Jonas Portin,23,Finland,Centre-Back,CB,£720Th.,Ascoli Calcio 1898,Italy,?,In,2010,s,serie-b,https://www.transfermarkt.co.uk/jonas-portin/profil/spieler/50089
Calcio Padova,Jerry Mbakogu,17,Nigeria,Centre-Forward,CF,£45Th.,Padova Primavera,Italy,-,In,2010,s,serie-b,https://www.transfermarkt.co.uk/jerry-mbakogu/profil/spieler/130382
Calcio Padova,Marc Lewandowski,21,France,attack,attack,£90Th.,Città di Siracusa,Italy,"End of loanJun 30, 2010",In,2010,s,serie-b,https://www.transfermarkt.co.uk/marc-lewandowski/profil/spieler/85011
