Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Bologna FC 1909,Marcello Castellini,33,Italy,Centre-Back,CB,£810Th.,UC Sampdoria,Italy,free transfer,In,2006,s,serie-b,https://www.transfermarkt.co.uk/marcello-castellini/profil/spieler/5988
Bologna FC 1909,Francesco Antonioli,36,Italy,Goalkeeper,GK,£765Th.,UC Sampdoria,Italy,free transfer,In,2006,s,serie-b,https://www.transfermarkt.co.uk/francesco-antonioli/profil/spieler/5935
Bologna FC 1909,Enrico Fantini,30,Italy,Centre-Forward,CF,£450Th.,Torino FC,Italy,?,In,2006,s,serie-b,https://www.transfermarkt.co.uk/enrico-fantini/profil/spieler/21149
Bologna FC 1909,Roberto Colombo,30,Italy,Goalkeeper,GK,-,San Marino,Italy,?,In,2006,s,serie-b,https://www.transfermarkt.co.uk/roberto-colombo/profil/spieler/43411
Bologna FC 1909,Piermario Morosini,19,Italy,Central Midfield,CM,£180Th.,Udinese Calcio,Italy,loan transfer,In,2006,s,serie-b,https://www.transfermarkt.co.uk/piermario-morosini/profil/spieler/35864
Bologna FC 1909,Emanuele Brioschi,31,Italy,Centre-Back,CB,£90Th.,AS Bari,Italy,?,In,2006,s,serie-b,https://www.transfermarkt.co.uk/emanuele-brioschi/profil/spieler/5992
Bologna FC 1909,Vincenzo Pellecchia,20,Italy,attack,attack,-,FC Empoli,Italy,loan transfer,In,2006,s,serie-b,https://www.transfermarkt.co.uk/vincenzo-pellecchia/profil/spieler/29618
Bologna FC 1909,Emanuele Filippini,33,Italy,Central Midfield,CM,£900Th.,Treviso FBC 1993,Italy,loan transfer,In,2006,s,serie-b,https://www.transfermarkt.co.uk/emanuele-filippini/profil/spieler/5871
Bologna FC 1909,Thomas Manfredini,26,Italy,Centre-Back,CB,£360Th.,Atalanta BC,Italy,loan transfer,In,2006,s,serie-b,https://www.transfermarkt.co.uk/thomas-manfredini/profil/spieler/5889
Bologna FC 1909,Luca Tedeschi,19,Italy,Centre-Back,CB,£225Th.,Bologna Primavera,Italy,-,In,2006,s,serie-b,https://www.transfermarkt.co.uk/luca-tedeschi/profil/spieler/28030
Bologna FC 1909,Mourad Meghni,22,Algeria,Attacking Midfield,AM,£2.25m,FC Sochaux-Montbéliard,France,"End of loanJun 30, 2006",In,2006,s,serie-b,https://www.transfermarkt.co.uk/mourad-meghni/profil/spieler/6003
Juventus FC,Jean-Alain Boumsong,26,France,Centre-Back,CB,£6.75m,Newcastle United,England,£3.60m,In,2006,s,serie-b,https://www.transfermarkt.co.uk/jean-alain-boumsong/profil/spieler/5418
Juventus FC,Marco Marchionni,25,Italy,Right Midfield,RM,£9.00m,Parma FC,Italy,free transfer,In,2006,s,serie-b,https://www.transfermarkt.co.uk/marco-marchionni/profil/spieler/5873
Juventus FC,Cristiano Zanetti,29,Italy,Defensive Midfield,DM,£4.50m,FC Internazionale,Italy,free transfer,In,2006,s,serie-b,https://www.transfermarkt.co.uk/cristiano-zanetti/profil/spieler/5783
Juventus FC,Valeri Bojinov,20,Bulgaria,Centre-Forward,CF,£11.70m,ACF Fiorentina,Italy,loan transfer,In,2006,s,serie-b,https://www.transfermarkt.co.uk/valeri-bojinov/profil/spieler/4176
Juventus FC,Tomás Guzmán,24,Paraguay,Attacking Midfield,AM,£450Th.,Robur Siena,Italy,?,In,2006,s,serie-b,https://www.transfermarkt.co.uk/tomas-guzman/profil/spieler/19228
Juventus FC,Emanuele Belardi,28,Italy,Goalkeeper,GK,£450Th.,Reggina Calcio,Italy,loan transfer,In,2006,s,serie-b,https://www.transfermarkt.co.uk/emanuele-belardi/profil/spieler/6060
Juventus FC,Paolo De Ceglie,19,Italy,Left-Back,LB,-,Juventus Primavera,Italy,-,In,2006,s,serie-b,https://www.transfermarkt.co.uk/paolo-de-ceglie/profil/spieler/44709
Juventus FC,Sebastian Giovinco,19,Italy,Second Striker,SS,-,Juventus Primavera,Italy,-,In,2006,s,serie-b,https://www.transfermarkt.co.uk/sebastian-giovinco/profil/spieler/52312
Juventus FC,Michele Paolucci,20,Italy,Centre-Forward,CF,-,Juventus Primavera,Italy,-,In,2006,s,serie-b,https://www.transfermarkt.co.uk/michele-paolucci/profil/spieler/41311
Juventus FC,Raffaele Bianco,18,Italy,Central Midfield,CM,-,Juventus Primavera,Italy,-,In,2006,s,serie-b,https://www.transfermarkt.co.uk/raffaele-bianco/profil/spieler/56693
Juventus FC,Claudio Scarzanella,20,Italy,Goalkeeper,GK,-,Juventus Primavera,Italy,-,In,2006,s,serie-b,https://www.transfermarkt.co.uk/claudio-scarzanella/profil/spieler/83385
Juventus FC,Francesco Volpe,20,Italy,Right Winger,RW,-,Juventus Primavera,Italy,-,In,2006,s,serie-b,https://www.transfermarkt.co.uk/francesco-volpe/profil/spieler/55002
Juventus FC,Olivier Kapo,25,France,Attacking Midfield,AM,£3.60m,AS Monaco,France,"End of loanJun 30, 2006",In,2006,s,serie-b,https://www.transfermarkt.co.uk/olivier-kapo/profil/spieler/5438
Juventus FC,Nicola Legrottaglie,29,Italy,Centre-Back,CB,£1.35m,Robur Siena,Italy,"End of loanJun 30, 2006",In,2006,s,serie-b,https://www.transfermarkt.co.uk/nicola-legrottaglie/profil/spieler/5925
Juventus FC,Igor Tudor,28,Croatia,Centre-Back,CB,£3.15m,Robur Siena,Italy,"End of loanJun 30, 2006",In,2006,s,serie-b,https://www.transfermarkt.co.uk/igor-tudor/profil/spieler/5752
Juventus FC,Luigi Lavecchia,24,Italy,Right Midfield,RM,£450Th.,Le Mans Union Club 72,France,"End of loanJun 30, 2006",In,2006,s,serie-b,https://www.transfermarkt.co.uk/luigi-lavecchia/profil/spieler/19244
Juventus FC,Giuseppe Sculli,25,Italy,Left Winger,LW,£1.80m,FC Messina Peloro,Italy,"End of loanJun 30, 2006",In,2006,s,serie-b,https://www.transfermarkt.co.uk/giuseppe-sculli/profil/spieler/6046
