Club,Name,Età,Nationality,Posizione,Pos,MarketValue,ClubInvolved,CountryInvolved,Costo,Movement,Season,Window,League,Profile
US Pistoiese 1921,Vincenzo Riccio,26,Italia,Centrale,CC,-,Cosenza Calcio 1914,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/vincenzo-riccio/profil/spieler/15343
US Pistoiese 1921,Mast Hashimu Garba,20,Nigeria,Attacco,Attacco,-,FC Winterthur,Svizzera,?,In,2000,w,serie-b,https://www.transfermarkt.it/mast-hashimu-garba/profil/spieler/296972
US Pistoiese 1921,Iacopo Fanucchi,19,Italia,Trequartista,TQ,-,Pistoiese Giovanili,Italia,-,In,2000,w,serie-b,https://www.transfermarkt.it/iacopo-fanucchi/profil/spieler/139317
US Ravenna,Gilbert Bodart,38,Belgio,Portiere,POR,-,Brescia Calcio,Italia,gratuito,In,2000,w,serie-b,https://www.transfermarkt.it/gilbert-bodart/profil/spieler/118144
US Ravenna,Marco Rigoni,21,Italia,Centrale,CC,-,Juventus Primavera,Italia,Prestito,In,2000,w,serie-b,https://www.transfermarkt.it/marco-rigoni/profil/spieler/21954
US Ravenna,Angelo Paradiso,23,Italia,Centrocampo,Centrocampo,-,AC Cesena,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/angelo-paradiso/profil/spieler/33624
US Ravenna,Jorge Casanova,24,Uruguay,Centrale,CC,-,US Lecce,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/jorge-casanova/profil/spieler/74407
US Ravenna,Georgios Vakouftsis,20,Grecia,Punta centrale,P,-,AC Fiorentina,Italia,Prestito,In,2000,w,serie-b,https://www.transfermarkt.it/georgios-vakouftsis/profil/spieler/20815
US Ravenna,Paquito,19,Brasile,Centrale,CC,-,SSC Napoli,Italia,Prestito,In,2000,w,serie-b,https://www.transfermarkt.it/paquito/profil/spieler/19817
US Ravenna,Massimo Ficcadenti,33,Italia,Mediano,M,-,Torino Calcio,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/massimo-ficcadenti/profil/spieler/227418
Ternana Calcio,Luigi Riccio,23,Italia,Centrale,CC,-,US Pistoiese 1921,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/luigi-riccio/profil/spieler/21802
Ternana Calcio,Vittorio Mero,26,Italia,Difensore centrale,DC,-,Brescia Calcio,Italia,Prestito,In,2000,w,serie-b,https://www.transfermarkt.it/vittorio-mero/profil/spieler/192066
Ternana Calcio,Marco Sgrò,30,Italia,Trequartista,TQ,-,UC Sampdoria,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/marco-sgro/profil/spieler/223114
UC Sampdoria,Jean Ondoa,17,Camerun,Centrocampo,Centrocampo,-,SF Aversa Normanna,Italia,gratuito,In,2000,w,serie-b,https://www.transfermarkt.it/jean-ondoa/profil/spieler/19919
UC Sampdoria,Davide Possanzini,24,Italia,Punta centrale,P,-,Reggina Calcio,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/davide-possanzini/profil/spieler/22248
UC Sampdoria,Alessandro Cucciari,31,Italia,Mediano,M,-,Ternana Calcio,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/alessandro-cucciari/profil/spieler/15335
UC Sampdoria,Roberto D'Aversa,25,Italia,Centrale,CC,-,Delfino Pescara 1936,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/roberto-daversa/profil/spieler/21685
UC Sampdoria,Maurizio Bedin,21,Italia,Centrale,CC,-,Udinese Calcio,Italia,Prestito,In,2000,w,serie-b,https://www.transfermarkt.it/maurizio-bedin/profil/spieler/5898
UC Sampdoria,Attilio Lombardo,34,Italia,Ala destra,AD,-,SS Lazio,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/attilio-lombardo/profil/spieler/154311
UC Sampdoria,Pasquale Luiso,31,Italia,Punta centrale,P,-,Vicenza Calcio,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/pasquale-luiso/profil/spieler/24326
UC Sampdoria,Claudio Bonomi,27,Italia,Centrocampista di sinistra,CS,-,US Lecce,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/claudio-bonomi/profil/spieler/226059
UC Sampdoria,Carmine Esposito,30,Italia,Attacco,Attacco,-,Vicenza Calcio,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/carmine-esposito/profil/spieler/287385
UC Sampdoria,Maurizio Damonte,20,Italia,Difensore centrale,DC,-,AC Reggiana,Italia,Fine prestito31/dic/2000,In,2000,w,serie-b,https://www.transfermarkt.it/maurizio-damonte/profil/spieler/561314
AC Chievo Verona,Ivan Franceschini,24,Italia,Difensore centrale,DC,-,Reggina Calcio,Italia,Prestito,In,2000,w,serie-b,https://www.transfermarkt.it/ivan-franceschini/profil/spieler/6066
AC Chievo Verona,Luigi Martinelli,30,Italia,Terzino destro,TD,-,Alzano Virescit,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/luigi-martinelli/profil/spieler/22319
AC Chievo Verona,Michele Baldi,28,Italia,Centrocampo,Centrocampo,-,Delfino Pescara 1936,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/michele-baldi/profil/spieler/285824
AC Chievo Verona,Tommaso Chiecchi,21,Italia,Difensore centrale,DC,-,AS Lucchese Libertas,Italia,Fine prestito31/dic/2000,In,2000,w,serie-b,https://www.transfermarkt.it/tommaso-chiecchi/profil/spieler/5918
AC Chievo Verona,Salvatore Bruno,21,Italia,Punta centrale,P,-,SP Ars et Labor,Italia,Fine prestito31/dic/2000,In,2000,w,serie-b,https://www.transfermarkt.it/salvatore-bruno/profil/spieler/7108
Empoli FC,Fabrizio Ficini,27,Italia,Mediano,M,-,UC Sampdoria,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/fabrizio-ficini/profil/spieler/6023
Empoli FC,Giacomo Banchelli,27,Italia,Punta centrale,P,-,Atalanta,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/giacomo-banchelli/profil/spieler/223333
Empoli FC,Christian Bini,30,Italia,Portiere,POR,-,Ternana Calcio,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/christian-bini/profil/spieler/309591
AC Venezia 1907,Ighli Vannucchi,23,Italia,Trequartista,TQ,-,US Salernitana,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/ighli-vannucchi/profil/spieler/6022
AC Venezia 1907,Stefano Morrone,22,Italia,Centrale,CC,-,Piacenza FC,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/stefano-morrone/profil/spieler/6722
AC Venezia 1907,Generoso Rossi,22,Italia,Portiere,POR,-,AS Bari,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/generoso-rossi/profil/spieler/6443
AC Venezia 1907,Alessio Bandieri,26,Italia,Portiere,POR,-,AC Savoia 1908,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/alessio-bandieri/profil/spieler/228806
AC Venezia 1907,Igor Budan,20,Croazia,Punta centrale,P,-,Empoli FC,Italia,Fine prestito01/dic/2000,In,2000,w,serie-b,https://www.transfermarkt.it/igor-budan/profil/spieler/19437
Torino Calcio,Sixto Peralta,21,Argentina,Centrale,CC,-,FC Internazionale,Italia,Spesa prestito:300 mila €,In,2000,w,serie-b,https://www.transfermarkt.it/sixto-peralta/profil/spieler/55962
Torino Calcio,Corrado Colombo,21,Italia,Punta centrale,P,-,FC Internazionale,Italia,gratuito,In,2000,w,serie-b,https://www.transfermarkt.it/corrado-colombo/profil/spieler/21231
Torino Calcio,Luigi Garzya,31,Italia,Difensore centrale,DC,-,AS Bari,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/luigi-garzya/profil/spieler/151872
Torino Calcio,Stefano Fattori,28,Italia,Difensore centrale,DC,-,Vicenza Calcio,Italia,Fine prestito31/dic/2000,In,2000,w,serie-b,https://www.transfermarkt.it/stefano-fattori/profil/spieler/21760
US Salernitana,Ivone De Franceschi,27,Italia,Ala sinistra,AS,-,AC Venezia 1907,Italia,Prestito,In,2000,w,serie-b,https://www.transfermarkt.it/ivone-de-franceschi/profil/spieler/5924
US Salernitana,Juri Tamburini,23,Italia,Terzino sinistro,TS,-,Vicenza Calcio,Italia,Prestito,In,2000,w,serie-b,https://www.transfermarkt.it/juri-tamburini/profil/spieler/28848
US Salernitana,Giuseppe Mascara,21,Italia,Seconda punta,SP,-,US Avellino,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/giuseppe-mascara/profil/spieler/22085
US Salernitana,Elijah Louhenapessy,24,Olanda,Mediano,M,-,Udinese Calcio,Italia,Prestito,In,2000,w,serie-b,https://www.transfermarkt.it/elijah-louhenapessy/profil/spieler/108137
US Salernitana,Aldo Firicano,33,Italia,Difensore centrale,DC,-,AC Fiorentina,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/aldo-firicano/profil/spieler/160168
US Salernitana,Giuliano Melosi,33,Italia,Centrale,CC,-,Delfino Pescara 1936,Italia,?,In,2000,w,serie-b,https://www.transfermarkt.it/giuliano-melosi/profil/spieler/228797
US Salernitana,Francesco Palmieri,33,Italia,Punta centrale,P,-,Piacenza FC,Italia,Prestito,In,2000,w,serie-b,https://www.transfermarkt.it/francesco-palmieri/profil/spieler/631139
US Salernitana,Giampaolo Parisi,21,Italia,Difesa,Difesa,-,US Avellino,Italia,Prestito,In,2000,w,serie-b,https://www.transfermarkt.it/giampaolo-parisi/profil/spieler/228828
Robur Siena,Ciro Ginestra,21,Italia,Punta centrale,P,-,Modena FC,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/ciro-ginestra/profil/spieler/21848
Robur Siena,Aldo Preite,23,Italia,Difensore centrale,DC,-,FC Südtirol-Alto Adige,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/aldo-preite/profil/spieler/85494
Robur Siena,Claudio Macchi,29,Italia,Centrocampo,Centrocampo,-,AC Cesena,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/claudio-macchi/profil/spieler/299912
AS Cittadella Padova,Alessandro De Poli,31,Italia,Ala destra,AD,-,US Triestina,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/alessandro-de-poli/profil/spieler/32117
AS Cittadella Padova,Davide Cordone,29,Italia,Centrale,CC,-,Calcio Catania,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/davide-cordone/profil/spieler/21917
FC Crotone,César Augusto Sant'anna,27,Brasile,Mediano,M,-,Jiangsu Sainty,Cina,?,Out,2000,w,serie-b,https://www.transfermarkt.it/cesar-augusto-santanna/profil/spieler/56192
FC Crotone,Stefano Trinchera,26,Italia,Difensore centrale,DC,-,AC Reggiana,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/stefano-trinchera/profil/spieler/226112
FC Crotone,Alessandro Ambrosi,29,Italia,Punta centrale,P,-,Calcio Catania,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/alessandro-ambrosi/profil/spieler/287477
FC Crotone,Paolo Ziliani,29,Italia,Libero,LIB,-,AC Arezzo,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/paolo-ziliani/profil/spieler/228303
FC Crotone,Luigi Sassanelli,29,Italia,Portiere,POR,-,FC Sporting Benevento,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/luigi-sassanelli/profil/spieler/248377
FC Crotone,Alessandro Erra,27,Italia,Difensore centrale,DC,-,Ascoli Calcio 1898,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/alessandro-erra/profil/spieler/300061
FC Crotone,Matjaz Florjancic,33,Slovenia,Centrocampo,Centrocampo,-,Alzano Virescit,Italia,Fine prestito15/gen/2001,Out,2000,w,serie-b,https://www.transfermarkt.it/matjaz-florjancic/profil/spieler/113407
Cosenza Calcio 1914,Massimo Perna,20,Italia,Punta centrale,P,-,US Città di Fasano,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/massimo-perna/profil/spieler/21764
Cosenza Calcio 1914,Vincenzo Riccio,26,Italia,Centrale,CC,-,US Pistoiese 1921,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/vincenzo-riccio/profil/spieler/15343
Cosenza Calcio 1914,Francesco Modesto,18,Italia,Terzino sinistro,TS,-,US Vibonese Calcio,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/francesco-modesto/profil/spieler/22320
Cosenza Calcio 1914,Pasquale Apa,27,Italia,Centrocampo,Centrocampo,-,Calcio Catania,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/pasquale-apa/profil/spieler/296974
Cosenza Calcio 1914,Petar Zhabov,27,Bulgaria,Attacco,Attacco,-,AS Lucchese Libertas,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/petar-zhabov/profil/spieler/299622
Cosenza Calcio 1914,Tomaso Tatti,28,Italia,Attacco,Attacco,-,AC Perugia,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/tomaso-tatti/profil/spieler/216817
Cosenza Calcio 1914,Marco Sesia,30,Italia,Centrocampo,Centrocampo,-,Taranto FC 1927,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/marco-sesia/profil/spieler/227518
Delfino Pescara 1936,Paolo Rachini,30,Italia,Centrale,CC,-,L'Aquila Calcio 1927,Italia,gratuito,Out,2000,w,serie-b,https://www.transfermarkt.it/paolo-rachini/profil/spieler/288479
Delfino Pescara 1936,Salvatore Sullo,29,Italia,Trequartista,TQ,-,FC Messina Peloro,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/salvatore-sullo/profil/spieler/19291
Delfino Pescara 1936,Nicola Zanini,26,Italia,Trequartista,TQ,-,Calcio Monza,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/nicola-zanini/profil/spieler/22218
Delfino Pescara 1936,Luca Minopoli,21,Italia,Centrale,CC,-,Ascoli Calcio 1898,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/luca-minopoli/profil/spieler/22282
Delfino Pescara 1936,Roberto D'Aversa,25,Italia,Centrale,CC,-,UC Sampdoria,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/roberto-daversa/profil/spieler/21685
Delfino Pescara 1936,Paolo Annoni,30,Italia,Terzino sinistro,TS,-,Genoa CFC,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/paolo-annoni/profil/spieler/226056
Delfino Pescara 1936,Giuliano Melosi,33,Italia,Centrale,CC,-,US Salernitana,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/giuliano-melosi/profil/spieler/228797
Delfino Pescara 1936,Vincenzo Palumbo,26,Germania,Attacco,Attacco,-,US Città di Palermo,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/vincenzo-palumbo/profil/spieler/132797
Delfino Pescara 1936,Alessandro Sbrizzo,25,Italia,Difensore centrale,DC,-,AC Savoia 1908,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/alessandro-sbrizzo/profil/spieler/22288
Delfino Pescara 1936,Juriy Cannarsa,24,Italia,Terzino destro,TD,-,AS Livorno,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/juriy-cannarsa/profil/spieler/28011
Delfino Pescara 1936,Fabio Artico,26,Italia,Punta centrale,P,-,Piacenza FC,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/fabio-artico/profil/spieler/139294
Delfino Pescara 1936,Domenico Cecere,27,Italia,Portiere,POR,-,FC Messina Peloro,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/domenico-cecere/profil/spieler/32077
Delfino Pescara 1936,Michele Baldi,28,Italia,Centrocampo,Centrocampo,-,AC Chievo Verona,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/michele-baldi/profil/spieler/285824
Delfino Pescara 1936,Francesco Palmieri,33,Italia,Punta centrale,P,-,Piacenza FC,Italia,Fine prestito31/dic/2000,Out,2000,w,serie-b,https://www.transfermarkt.it/francesco-palmieri/profil/spieler/631139
Calcio Monza,Marko Topic,25,Bosnia-Erzegovina,Punta centrale,P,-,Austria Vienna,Austria,100 mila €,Out,2000,w,serie-b,https://www.transfermarkt.it/marko-topic/profil/spieler/1199
Calcio Monza,Vincenzo Mazzeo,32,Italia,Centrocampo,Centrocampo,-,Delfino Pescara 1936,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/vincenzo-mazzeo/profil/spieler/203017
Calcio Monza,Pier Giovanni Rutzittu,24,Italia,Centrocampo,Centrocampo,-,US Lecce,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/pier-giovanni-rutzittu/profil/spieler/226091
Calcio Monza,Giuseppe Gatta,33,Italia,Portiere,POR,-,Spezia Calcio 1906,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/giuseppe-gatta/profil/spieler/226071
Calcio Monza,Gianpaolo Castorina,24,Italia,Difensore centrale,DC,-,Robur Siena,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/gianpaolo-castorina/profil/spieler/287571
Calcio Monza,Fabio Valsesia,19,Italia,Attacco,Attacco,-,US Pro Vercelli,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/fabio-valsesia/profil/spieler/299918
Treviso FBC 1993,Luigi Beghetto,27,Italia,Punta centrale,P,-,Cagliari Calcio,Italia,gratuito,Out,2000,w,serie-b,https://www.transfermarkt.it/luigi-beghetto/profil/spieler/5933
Treviso FBC 1993,Roberto Colacone,26,Italia,Seconda punta,SP,-,Como Calcio,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/roberto-colacone/profil/spieler/22312
Treviso FBC 1993,Marco Borriello,18,Italia,Punta centrale,P,-,US Triestina,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/marco-borriello/profil/spieler/5825
Treviso FBC 1993,Marcello Lambrughi,22,Italia,Difesa,Difesa,-,Giulianova Calcio,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/marcello-lambrughi/profil/spieler/341262
Treviso FBC 1993,Liam Ardigò,24,Italia,Portiere,POR,-,Giulianova Calcio,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/liam-ardigo/profil/spieler/317700
Treviso FBC 1993,Gianfranco Nardi,22,Italia,Centrocampista di destra,CD,-,AC Pro Sesto,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/gianfranco-nardi/profil/spieler/22599
Piacenza FC,Stefano Morrone,22,Italia,Centrale,CC,-,AC Venezia 1907,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/stefano-morrone/profil/spieler/6722
Piacenza FC,Francesco Palmieri,33,Italia,Punta centrale,P,-,US Salernitana,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/francesco-palmieri/profil/spieler/631139
Piacenza FC,Francesco Palmieri,33,Italia,Punta centrale,P,-,Delfino Pescara 1936,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/francesco-palmieri/profil/spieler/631139
Cagliari Calcio,Davide Carrus,21,Italia,Mediano,M,-,SP Ars et Labor,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/davide-carrus/profil/spieler/21145
Cagliari Calcio,Daniele Berretta,28,Italia,Mediano,M,-,Atalanta,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/daniele-berretta/profil/spieler/6716
Cagliari Calcio,Andrea Pisanu,19,Italia,Centrocampista di destra,CD,-,Hellas Verona,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/andrea-pisanu/profil/spieler/25323
Cagliari Calcio,Gianni Cavezzi,31,Italia,Centrocampista di destra,CD,-,Como Calcio,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/gianni-cavezzi/profil/spieler/223338
Cagliari Calcio,Salvatore Accursi,22,Italia,Difensore centrale,DC,-,US Brescello,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/salvatore-accursi/profil/spieler/19178
Ancona Calcio,Raffaele Biancolino,23,Italia,Punta centrale,P,-,AS Fidelis Andria,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/raffaele-biancolino/profil/spieler/25486
Ancona Calcio,Vincenzo De Liguori,20,Italia,Centrale,CC,-,US Viterbese,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/vincenzo-de-liguori/profil/spieler/85267
Ancona Calcio,Mirko Ventura,21,Italia,Centrocampo,Centrocampo,-,Sangiovannese 1927,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/mirko-ventura/profil/spieler/299950
Ancona Calcio,Fabio Gentili,22,Italia,Attacco,Attacco,-,AS Gualdo Calcio,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/fabio-gentili/profil/spieler/301200
Ancona Calcio,Michele Baldini,25,Italia,Difesa,Difesa,-,US Viterbese,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/michele-baldini/profil/spieler/432194
Genoa CFC,Christian Scalzo,28,Italia,Attacco,Attacco,-,Robur Siena,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/christian-scalzo/profil/spieler/281395
Genoa CFC,Alessandro Atzeni,21,Italia,Punta centrale,P,-,Montevarchi Calcio Aquila 1902,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/alessandro-atzeni/profil/spieler/227270
US Pistoiese 1921,Luigi Riccio,23,Italia,Centrale,CC,-,Ternana Calcio,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/luigi-riccio/profil/spieler/21802
US Pistoiese 1921,Adrián Ricchiuti,22,Argentina,Seconda punta,SP,-,AC Arezzo,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/adrian-ricchiuti/profil/spieler/30654
US Pistoiese 1921,Alessandro Sgrigna,20,Italia,Seconda punta,SP,-,AC Reggiana,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/alessandro-sgrigna/profil/spieler/38642
US Pistoiese 1921,Michele Pagano,23,Italia,Terzino sinistro,TS,-,AC Città di Lecco,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/michele-pagano/profil/spieler/300510
US Pistoiese 1921,Michele Desole,19,Italia,Centrocampo,Centrocampo,-,AC Prato,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/michele-desole/profil/spieler/297753
US Pistoiese 1921,Gianbattista Scugugia,29,Italia,Difensore centrale,DC,-,AS Cisco Lodigiani,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/gianbattista-scugugia/profil/spieler/223359
US Pistoiese 1921,Marco Vendrame,23,Italia,Centrocampista di destra,CD,-,AC Arezzo,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/marco-vendrame/profil/spieler/227287
US Pistoiese 1921,Andrea Barzagli,19,Italia,Difensore centrale,DC,-,Rondinella Impruneta,Italia,Fine prestito31/dic/2000,Out,2000,w,serie-b,https://www.transfermarkt.it/andrea-barzagli/profil/spieler/7109
US Ravenna,Alex Calderoni,24,Italia,Portiere,POR,-,Calcio Monza,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/alex-calderoni/profil/spieler/19452
US Ravenna,Cristiano Scapolo,30,Italia,Trequartista,TQ,-,AC Legnano,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/cristiano-scapolo/profil/spieler/164567
US Ravenna,Michele Gelsi,32,Italia,Centrale,CC,-,Al-Ittihad Gedda,Arabia Saudita,?,Out,2000,w,serie-b,https://www.transfermarkt.it/michele-gelsi/profil/spieler/32118
US Ravenna,Alessandro Arricca,22,Italia,Centrocampo,Centrocampo,-,Calcio Castel San Pietro Terme,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/alessandro-arricca/profil/spieler/269868
US Ravenna,Alessandro Lamonica,27,Italia,Difesa,Difesa,-,AC Cesena,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/alessandro-lamonica/profil/spieler/229136
US Ravenna,Mattia Rinaldini,20,Italia,Mediano,M,-,AC Arezzo,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/mattia-rinaldini/profil/spieler/300686
US Ravenna,Matteo Rossi,21,Italia,Centrocampo,Centrocampo,-,Calcio Padova,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/matteo-rossi/profil/spieler/308569
US Ravenna,Roberto Colacone,26,Italia,Seconda punta,SP,-,Treviso FBC 1993,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/roberto-colacone/profil/spieler/22312
US Ravenna,Massimiliano Corrado,29,Italia,Terzino destro,TD,-,AC Arezzo,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/massimiliano-corrado/profil/spieler/223460
US Ravenna,Marco Rigoni,21,Italia,Centrale,CC,-,Juventus FC,Italia,Fine prestito30/giu/2001,Out,2000,w,serie-b,https://www.transfermarkt.it/marco-rigoni/profil/spieler/21954
Ternana Calcio,Alessandro Cucciari,31,Italia,Mediano,M,-,UC Sampdoria,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/alessandro-cucciari/profil/spieler/15335
Ternana Calcio,Emiliano Tarana,21,Italia,Ala destra,AD,-,AC Perugia,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/emiliano-tarana/profil/spieler/21803
Ternana Calcio,Angelo Carbone,32,Italia,Centrocampista di destra,CD,-,US Pistoiese 1921,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/angelo-carbone/profil/spieler/177667
Ternana Calcio,Christian Bini,30,Italia,Portiere,POR,-,Empoli FC,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/christian-bini/profil/spieler/309591
Ternana Calcio,Marco Sgrò,30,Italia,Trequartista,TQ,-,Calcio Monza,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/marco-sgro/profil/spieler/223114
Ternana Calcio,Carlo Teodorani,23,Italia,Terzino sinistro,TS,-,Hellas Verona,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/carlo-teodorani/profil/spieler/21873
Ternana Calcio,Mattia Graffiedi,20,Italia,Punta centrale,P,-,Milan AC,Italia,Fine prestito14/gen/2001,Out,2000,w,serie-b,https://www.transfermarkt.it/mattia-graffiedi/profil/spieler/6395
UC Sampdoria,Fabrizio Ficini,27,Italia,Mediano,M,-,Empoli FC,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/fabrizio-ficini/profil/spieler/6023
UC Sampdoria,Davide Dionigi,26,Italia,Punta centrale,P,-,Reggina Calcio,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/davide-dionigi/profil/spieler/28015
UC Sampdoria,Claudio Bonomi,28,Italia,Centrocampista di sinistra,CS,-,Delfino Pescara 1936,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/claudio-bonomi/profil/spieler/226059
UC Sampdoria,Gaetano Vasari,30,Italia,Ala destra,AD,-,US Lecce,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/gaetano-vasari/profil/spieler/223362
UC Sampdoria,Maurizio Damonte,20,Italia,Difensore centrale,DC,-,US Alessandria Calcio,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/maurizio-damonte/profil/spieler/561314
UC Sampdoria,Marco Sgrò,30,Italia,Trequartista,TQ,-,Ternana Calcio,Italia,?,Out,2000,w,serie-b,https://www.transfermarkt.it/marco-sgro/profil/spieler/223114
AC Chievo Verona,Sergio Pellissier,21,Italia,Punta centrale,P,-,SP Ars et Labor,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/sergio-pellissier/profil/spieler/5928
AC Chievo Verona,Tommaso Chiecchi,21,Italia,Difensore centrale,DC,-,AC Lumezzane,Italia,Prestito,Out,2000,w,serie-b,https://www.transfermarkt.it/tommaso-chiecchi/profil/spieler/5918
