Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Ascoli Calcio,Aly Malle,22,Mali,Right Winger,RW,£360Th.,Udinese Calcio,Italy,£450Th.,In,2020,s,serie-b,https://www.transfermarkt.co.uk/aly-malle/profil/spieler/398809
Ascoli Calcio,Dario Saric,23,Bosnia-Herzegovina,Central Midfield,CM,£360Th.,Carpi FC 1909,Italy,£297Th.,In,2020,s,serie-b,https://www.transfermarkt.co.uk/dario-saric/profil/spieler/293228
Ascoli Calcio,Daniele Sarzi Puttini,24,Italy,Left-Back,LB,£180Th.,Carpi FC 1909,Italy,£162Th.,In,2020,s,serie-b,https://www.transfermarkt.co.uk/daniele-sarzi-puttini/profil/spieler/287344
Ascoli Calcio,Emin Ghazoini,19,Morocco,Right-Back,RB,£135Th.,Frosinone Primavera,Italy,£135Th.,In,2020,s,serie-b,https://www.transfermarkt.co.uk/emin-ghazoini/profil/spieler/460035
Ascoli Calcio,Khadim Ndiaye,20,Senegal,Goalkeeper,GK,£180Th.,Atalanta Primavera,Italy,loan transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/khadim-ndiaye/profil/spieler/623851
Ascoli Calcio,Marcel Büchel,29,Liechtenstein,Central Midfield,CM,£270Th.,SS Juve Stabia,Italy,free transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/marcel-buchel/profil/spieler/74956
Ascoli Calcio,Christos Donis,25,Greece,Central Midfield,CM,£675Th.,Panathinaikos Athens,Greece,free transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/christos-donis/profil/spieler/212432
Ascoli Calcio,Nicholas Pierini,22,Italy,Left Winger,LW,£495Th.,US Sassuolo,Italy,loan transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/nicholas-pierini/profil/spieler/372720
Ascoli Calcio,Anastasios Avlonitis,30,Greece,Centre-Back,CB,£675Th.,SK Sturm Graz,Austria,free transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/anastasios-avlonitis/profil/spieler/60164
Ascoli Calcio,Apostolos Vellios,28,Greece,Centre-Forward,CF,£540Th.,Atromitos Athen,Greece,free transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/apostolos-vellios/profil/spieler/124495
Ascoli Calcio,Oliver Kragl,30,Germany,Left Midfield,LM,£1.35m,Benevento Calcio,Italy,loan transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/oliver-kragl/profil/spieler/56513
Ascoli Calcio,Lubomir Tupta,22,Slovakia,Centre-Forward,CF,£315Th.,Hellas Verona,Italy,loan transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/lubomir-tupta/profil/spieler/344806
Ascoli Calcio,Lukas Spendlhofer,27,Austria,Centre-Back,CB,£540Th.,SK Sturm Graz,Austria,?,In,2020,s,serie-b,https://www.transfermarkt.co.uk/lukas-spendlhofer/profil/spieler/126114
Ascoli Calcio,Abdelhamid Sabiri,23,Germany,Attacking Midfield,AM,£1.53m,SC Paderborn 07,Germany,?,In,2020,s,serie-b,https://www.transfermarkt.co.uk/abdelhamid-sabiri/profil/spieler/340394
Ascoli Calcio,Simone Sini,28,Italy,Centre-Back,CB,£225Th.,Ternana Calcio,Italy,?,In,2020,s,serie-b,https://www.transfermarkt.co.uk/simone-sini/profil/spieler/110934
Ascoli Calcio,Riad Bajić,26,Bosnia-Herzegovina,Centre-Forward,CF,£1.08m,Udinese Calcio,Italy,loan transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/riad-baji%C4%87/profil/spieler/263267
Ascoli Calcio,Cosimo Chiricò,28,Italy,Right Winger,RW,£405Th.,AC Monza,Italy,?,In,2020,s,serie-b,https://www.transfermarkt.co.uk/cosimo-chirico/profil/spieler/165852
Ascoli Calcio,Gianmarco Cangiano,18,Italy,Left Winger,LW,£450Th.,Bologna FC 1909,Italy,loan transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/gianmarco-cangiano/profil/spieler/496270
Ascoli Calcio,Dean Lico,20,Albania,Attacking Midfield,AM,£23Th.,Lazio U19,Italy,?,In,2020,s,serie-b,https://www.transfermarkt.co.uk/dean-lico/profil/spieler/454292
Ascoli Calcio,Gabriele Corbo,20,Italy,Centre-Back,CB,£720Th.,Bologna FC 1909,Italy,loan transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/gabriele-corbo/profil/spieler/423614
Ascoli Calcio,Mouhamadou Sarr,23,Senegal,Goalkeeper,GK,£90Th.,Bologna FC 1909,Italy,loan transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/mouhamadou-sarr/profil/spieler/338101
Ascoli Calcio,Luca Bolletta,15,Italy,Goalkeeper,GK,-,Ascoli Under 17,Italy,-,In,2020,s,serie-b,https://www.transfermarkt.co.uk/luca-bolletta/profil/spieler/704468
Ascoli Calcio,Christian Scorza,20,Italy,Defensive Midfield,DM,£45Th.,Ascoli Picchio Primavera,Italy,-,In,2020,s,serie-b,https://www.transfermarkt.co.uk/christian-scorza/profil/spieler/460003
Ascoli Calcio,Simone Ganz,26,Italy,Centre-Forward,CF,£225Th.,Como 1907,Italy,"End of loanJun 30, 2020",In,2020,s,serie-b,https://www.transfermarkt.co.uk/simone-ganz/profil/spieler/160334
Ascoli Calcio,Niccolò Tofanari,22,Italy,Right-Back,RB,£113Th.,Alma Juventus Fano 1906,Italy,"End of loanJul 1, 2020",In,2020,s,serie-b,https://www.transfermarkt.co.uk/niccolo-tofanari/profil/spieler/340442
Ascoli Calcio,Edoardo Tassi,22,Italy,Centre-Forward,CF,£90Th.,Alma Juventus Fano 1906,Italy,"End of loanJul 1, 2020",In,2020,s,serie-b,https://www.transfermarkt.co.uk/edoardo-tassi/profil/spieler/347587
Ascoli Calcio,Danilo Quaranta,23,Italy,Centre-Back,CB,£113Th.,US Catanzaro,Italy,"End of loanJul 1, 2020",In,2020,s,serie-b,https://www.transfermarkt.co.uk/danilo-quaranta/profil/spieler/396307
Ascoli Calcio,Moutir Chajia,22,Belgium,Left Winger,LW,£270Th.,Virtus Entella,Italy,"End of loanAug 31, 2020",In,2020,s,serie-b,https://www.transfermarkt.co.uk/moutir-chajia/profil/spieler/448538
Ascoli Calcio,Francesco Semeraro,19,Italy,Left-Back,LB,£180Th.,Roma Primavera,Italy,"End of loanJun 30, 2020",In,2020,s,serie-b,https://www.transfermarkt.co.uk/francesco-semeraro/profil/spieler/460757
Ascoli Calcio,Alberto Gerbo,30,Italy,Central Midfield,CM,£360Th.,FC Crotone,Italy,"End of loanAug 31, 2020",In,2020,s,serie-b,https://www.transfermarkt.co.uk/alberto-gerbo/profil/spieler/88690
Ascoli Calcio,Lorenzo Laverone,31,Italy,Right-Back,RB,£315Th.,US Triestina,Italy,"End of loanAug 31, 2020",In,2020,s,serie-b,https://www.transfermarkt.co.uk/lorenzo-laverone/profil/spieler/124155
Brescia Calcio,Jakub Labojko,22,Poland,Central Midfield,CM,£405Th.,Slask Wroclaw,Poland,£540Th.,In,2020,s,serie-b,https://www.transfermarkt.co.uk/jakub-labojko/profil/spieler/387529
Brescia Calcio,Tom van de Looi,21,Netherlands,Central Midfield,CM,£383Th.,FC Groningen,Netherlands,£405Th.,In,2020,s,serie-b,https://www.transfermarkt.co.uk/tom-van-de-looi/profil/spieler/420189
Brescia Calcio,Matic Kotnik,30,Slovenia,Goalkeeper,GK,£270Th.,Panionios Athens,Greece,free transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/matic-kotnik/profil/spieler/96189
Brescia Calcio,Antonino Ragusa,30,Italy,Left Winger,LW,£630Th.,Hellas Verona,Italy,loan transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/antonino-ragusa/profil/spieler/102470
Brescia Calcio,Filip Jagiello,23,Poland,Central Midfield,CM,£1.26m,Genoa CFC,Italy,loan transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/filip-jagiello/profil/spieler/242813
Brescia Calcio,Hólmbert Aron Fridjónsson,27,Iceland,Centre-Forward,CF,£360Th.,Aalesunds FK,Norway,?,In,2020,s,serie-b,https://www.transfermarkt.co.uk/holmbert-aron-fridjonsson/profil/spieler/149996
Brescia Calcio,Stefano Filigheddu,18,Italy,Goalkeeper,GK,-,Brescia Primavera,Italy,-,In,2020,s,serie-b,https://www.transfermarkt.co.uk/stefano-filigheddu/profil/spieler/616655
Brescia Calcio,Matteo Cortesi,22,Italy,Centre-Forward,CF,£113Th.,AS Giana Erminio,Italy,"End of loanJul 1, 2020",In,2020,s,serie-b,https://www.transfermarkt.co.uk/matteo-cortesi/profil/spieler/336636
Brescia Calcio,Leonardo Morosini,24,Italy,Attacking Midfield,AM,£720Th.,Ascoli Calcio,Italy,"End of loanAug 31, 2020",In,2020,s,serie-b,https://www.transfermarkt.co.uk/leonardo-morosini/profil/spieler/240415
Chievo Verona,Adrian Semper,22,Croatia,Goalkeeper,GK,£900Th.,GNK Dinamo Zagreb,Croatia,£1.35m,In,2020,s,serie-b,https://www.transfermarkt.co.uk/adrian-semper/profil/spieler/317057
Chievo Verona,Luigi Canotto,26,Italy,Right Winger,RW,£495Th.,SS Juve Stabia,Italy,free transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/luigi-canotto/profil/spieler/188436
Chievo Verona,Julián Illanes,23,Argentina,Centre-Back,CB,£90Th.,ACF Fiorentina,Italy,loan transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/julian-illanes/profil/spieler/441264
Chievo Verona,Genny Rondinella,19,Italy,Right-Back,RB,£45Th.,US Savoia 1908,Italy,?,In,2020,s,serie-b,https://www.transfermarkt.co.uk/genny-rondinella/profil/spieler/639640
Chievo Verona,Manuel De Luca,22,Italy,Centre-Forward,CF,£270Th.,Torino FC,Italy,?,In,2020,s,serie-b,https://www.transfermarkt.co.uk/manuel-de-luca/profil/spieler/375816
Chievo Verona,Vasile Mogos,27,Romania,Right-Back,RB,£432Th.,US Cremonese,Italy,?,In,2020,s,serie-b,https://www.transfermarkt.co.uk/vasile-mogos/profil/spieler/324214
Chievo Verona,Luca Palmiero,24,Italy,Defensive Midfield,DM,£1.17m,SSC Napoli,Italy,loan transfer,In,2020,s,serie-b,https://www.transfermarkt.co.uk/luca-palmiero/profil/spieler/240357
