Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
US Sassuolo,Emanuele Terranova,24,Italy,Centre-Back,CB,£540Th.,US Palermo,Italy,£360Th.,In,2011,s,serie-b,https://www.transfermarkt.co.uk/emanuele-terranova/profil/spieler/61770
US Sassuolo,Tommaso Bianchi,22,Italy,Central Midfield,CM,£765Th.,Piacenza FC,Italy,£270Th.,In,2011,s,serie-b,https://www.transfermarkt.co.uk/tommaso-bianchi/profil/spieler/43085
US Sassuolo,Alessandro Longhi,21,Italy,Left-Back,LB,-,Chievo Verona,Italy,£135Th.,In,2011,s,serie-b,https://www.transfermarkt.co.uk/alessandro-longhi/profil/spieler/112666
US Sassuolo,Ettore Marchi,25,Italy,Centre-Forward,CF,£270Th.,US Triestina,Italy,£117Th.,In,2011,s,serie-b,https://www.transfermarkt.co.uk/ettore-marchi/profil/spieler/140084
US Sassuolo,Richmond Boakye,18,Ghana,Centre-Forward,CF,£720Th.,Genoa CFC,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/richmond-boakye/profil/spieler/119213
US Sassuolo,Francesco Potenza,24,Italy,Left Winger,LW,£135Th.,Ascoli Calcio 1898,Italy,free transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/francesco-potenza/profil/spieler/116594
US Sassuolo,Diego Falcinelli,20,Italy,Centre-Forward,CF,£180Th.,Foligno Calcio,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/diego-falcinelli/profil/spieler/119115
US Sassuolo,Leonardo Massoni,24,Italy,Centre-Back,CB,£180Th.,Hellas Verona,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/leonardo-massoni/profil/spieler/139744
US Sassuolo,Isaac Cofie,19,Ghana,Defensive Midfield,DM,£338Th.,Genoa CFC,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/isaac-cofie/profil/spieler/99327
US Sassuolo,Daniel Cappelletti,19,Italy,Centre-Back,CB,£158Th.,US Palermo,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/daniel-cappelletti/profil/spieler/130380
US Sassuolo,Karim Laribi,20,Tunisia,Attacking Midfield,AM,£338Th.,US Palermo,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/karim-laribi/profil/spieler/124911
US Sassuolo,Lorenzo Laverone,22,Italy,Right-Back,RB,£360Th.,Reggina Calcio,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/lorenzo-laverone/profil/spieler/124155
US Sassuolo,Davide Bassi,26,Italy,Goalkeeper,GK,£720Th.,FC Empoli,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/davide-bassi/profil/spieler/41914
US Sassuolo,Gianluca Sansone,24,Italy,Centre-Forward,CF,£315Th.,Robur Siena,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/gianluca-sansone/profil/spieler/84846
US Sassuolo,Lino Marzorati,24,Italy,Centre-Back,CB,£810Th.,FC Empoli,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/lino-marzorati/profil/spieler/41935
US Sassuolo,Pellegrino Albanese,21,Italy,Centre-Back,CB,£45Th.,AC Mantova,Italy,"End of loanJun 30, 2012",In,2011,s,serie-b,https://www.transfermarkt.co.uk/pellegrino-albanese/profil/spieler/88756
US Sassuolo,Nicola Ferrari,21,Italy,Centre-Forward,CF,£90Th.,Alma Juventus Fano 1906,Italy,"End of loanJun 30, 2011",In,2011,s,serie-b,https://www.transfermarkt.co.uk/nicola-ferrari/profil/spieler/139564
US Sassuolo,Giorgio Schiavini,20,Italy,Central Midfield,CM,-,Alma Juventus Fano 1906,Italy,"End of loanJun 30, 2011",In,2011,s,serie-b,https://www.transfermarkt.co.uk/giorgio-schiavini/profil/spieler/153326
US Sassuolo,Leonardo Pavoletti,22,Italy,Centre-Forward,CF,£135Th.,AS Casale Calcio,Italy,"End of loanJun 30, 2011",In,2011,s,serie-b,https://www.transfermarkt.co.uk/leonardo-pavoletti/profil/spieler/64793
US Sassuolo,Gaetano Masucci,26,Italy,Centre-Forward,CF,£585Th.,Frosinone Calcio,Italy,"End of loanJun 30, 2011",In,2011,s,serie-b,https://www.transfermarkt.co.uk/gaetano-masucci/profil/spieler/82751
US Sassuolo,Davide Luppi,20,Italy,Centre-Forward,CF,£68Th.,FC Esperia Viareggio,Italy,"End of loanJun 30, 2011",In,2011,s,serie-b,https://www.transfermarkt.co.uk/davide-luppi/profil/spieler/88764
SS Juve Stabia,Savio Nsereko,21,Germany,Right Winger,RW,£1.80m,ACF Fiorentina,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/savio-nsereko/profil/spieler/43100
SS Juve Stabia,Cristiano Biraghi,18,Italy,Left-Back,LB,£270Th.,Inter Milan Primavera,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/cristiano-biraghi/profil/spieler/124555
SS Juve Stabia,Antonio Zito,25,Italy,Left Midfield,LM,£270Th.,Robur Siena,Italy,free transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/antonio-zito/profil/spieler/75608
SS Juve Stabia,Guido Davì,20,Italy,Central Midfield,CM,£158Th.,US Palermo,Italy,free transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/guido-davi/profil/spieler/61745
SS Juve Stabia,Tomas Danilevicius,33,Lithuania,Centre-Forward,CF,£540Th.,AS Livorno,Italy,free transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/tomas-danilevicius/profil/spieler/4049
SS Juve Stabia,Ivano Baldanzeddu,25,Italy,Right-Back,RB,£203Th.,AS Lucchese Libertas,Italy,free transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/ivano-baldanzeddu/profil/spieler/41913
SS Juve Stabia,Matteo Cerreti,20,Italy,Goalkeeper,GK,-,FC Fondi 1922,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/matteo-cerreti/profil/spieler/201740
SS Juve Stabia,César,32,Brazil,Centre-Back,CB,£270Th.,Calcio Padova,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/cesar/profil/spieler/15977
SS Juve Stabia,Marco Sau,23,Italy,Centre-Forward,CF,£405Th.,Cagliari Calcio,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/marco-sau/profil/spieler/55801
SS Juve Stabia,Matteo Ceretti,20,Italy,Goalkeeper,GK,-,FC Fondi 1922,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/matteo-ceretti/profil/spieler/158452
SS Juve Stabia,Aldo Raffa,22,Italy,attack,attack,-,Turris Calcio,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/aldo-raffa/profil/spieler/427989
SS Juve Stabia,Vincenzo Iovene,19,Italy,Left Winger,LW,-,Turris Calcio,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/vincenzo-iovene/profil/spieler/98813
SS Juve Stabia,Andrea Seculin,21,Italy,Goalkeeper,GK,£225Th.,ACF Fiorentina,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/andrea-seculin/profil/spieler/85380
SS Juve Stabia,Matteo Scozzarella,23,Italy,Defensive Midfield,DM,£293Th.,Atalanta BC,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/matteo-scozzarella/profil/spieler/85208
SS Juve Stabia,Simone Zaza,20,Italy,Centre-Forward,CF,£180Th.,Sampdoria Primavera,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/simone-zaza/profil/spieler/96828
SS Juve Stabia,Alessio De Bode,20,Italy,Centre-Back,CB,£90Th.,Genoa Primavera,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/alessio-de-bode/profil/spieler/129625
SS Juve Stabia,Horacio Erpen,29,Argentina,Attacking Midfield,AM,£360Th.,Sorrento FC,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/horacio-erpen/profil/spieler/28866
SS Juve Stabia,Francesco Di Tacchio,21,Italy,Defensive Midfield,DM,£270Th.,ACF Fiorentina,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/francesco-di-tacchio/profil/spieler/84766
SS Juve Stabia,Luca Ubaldi,21,Italy,midfield,midfield,£45Th.,Unione Sanremo,Italy,"End of loanJun 30, 2011",In,2011,s,serie-b,https://www.transfermarkt.co.uk/luca-ubaldi/profil/spieler/139333
SS Juve Stabia,Mathieu Gomes,26,France,Right-Back,RB,£68Th.,Unione Sanremo,Italy,"End of loanJun 1, 2011",In,2011,s,serie-b,https://www.transfermarkt.co.uk/mathieu-gomes/profil/spieler/160413
Ascoli Calcio 1898,Leandro Vitiello,25,Italy,Defensive Midfield,DM,£630Th.,US Grosseto FC,Italy,free transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/leandro-vitiello/profil/spieler/57473
Ascoli Calcio 1898,Sinisa Andjelkovic,25,Slovenia,Centre-Back,CB,£1.08m,US Palermo,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/sinisa-andjelkovic/profil/spieler/84622
Ascoli Calcio 1898,Maurizio Peccarisi,33,Italy,Centre-Back,CB,£68Th.,Salerno Calcio,Italy,free transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/maurizio-peccarisi/profil/spieler/22327
Ascoli Calcio 1898,Fabio Conocchioli,21,Italy,Right-Back,RB,£45Th.,AC Mezzocorona,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/fabio-conocchioli/profil/spieler/112635
Ascoli Calcio 1898,Juri Tamburini,34,Italy,Left-Back,LB,£90Th.,Modena FC,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/juri-tamburini/profil/spieler/28848
Ascoli Calcio 1898,Filippo Boniperti,19,Italy,Right Winger,RW,£158Th.,Juventus Primavera,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/filippo-boniperti/profil/spieler/130347
Ascoli Calcio 1898,Andrea Soncin,32,Italy,Centre-Forward,CF,£315Th.,US Grosseto FC,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/andrea-soncin/profil/spieler/21157
Ascoli Calcio 1898,Gianluca Giovannini,27,Italy,Centre-Back,CB,£135Th.,Calcio Padova,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/gianluca-giovannini/profil/spieler/21820
Ascoli Calcio 1898,N'Diaye Papa Waigo,27,Senegal,Right Winger,RW,£405Th.,ACF Fiorentina,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/ndiaye-papa-waigo/profil/spieler/21871
Ascoli Calcio 1898,Giacomo Beretta,19,Italy,Centre-Forward,CF,£270Th.,Genoa Primavera,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/giacomo-beretta/profil/spieler/91241
Ascoli Calcio 1898,Ivan Reali,20,Italy,Left Midfield,LM,£45Th.,AC Mezzocorona,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/ivan-reali/profil/spieler/134101
Ascoli Calcio 1898,Carlo Ilari,19,Italy,Central Midfield,CM,£68Th.,Juventus Primavera,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/carlo-ilari/profil/spieler/119357
Ascoli Calcio 1898,Louise Parfait,21,Cameroon,Defensive Midfield,DM,£225Th.,Genoa CFC,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/louise-parfait/profil/spieler/112464
Ascoli Calcio 1898,Alessandro Romeo,24,Italy,Centre-Forward,CF,£270Th.,UC Sampdoria,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/alessandro-romeo/profil/spieler/49720
Ascoli Calcio 1898,Alessandro Sbaffo,20,Italy,Central Midfield,CM,£68Th.,Chievo Verona,Italy,loan transfer,In,2011,s,serie-b,https://www.transfermarkt.co.uk/alessandro-sbaffo/profil/spieler/119691
Ascoli Calcio 1898,Zsolt Tamási,21,Hungary,Central Midfield,CM,£68Th.,Parma FC,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/zsolt-tamasi/profil/spieler/110754
Ascoli Calcio 1898,Matteo Gandelli,19,Italy,Left-Back,LB,£45Th.,US Ancona,Italy,?,In,2011,s,serie-b,https://www.transfermarkt.co.uk/matteo-gandelli/profil/spieler/134342
Ascoli Calcio 1898,Lorenzo Marchionni,16,Italy,Left Winger,LW,-,Ascoli Youth,Italy,-,In,2011,s,serie-b,https://www.transfermarkt.co.uk/lorenzo-marchionni/profil/spieler/197246
