Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Brescia Calcio,Mario Salgado,24,Chile,Centre-Forward,CF,£1.44m,Ternana Calcio,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/mario-salgado/profil/spieler/5984
Brescia Calcio,Abderrazzak Jadid,22,Morocco,Central Midfield,CM,£135Th.,AC Pisa 1909,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/abderrazzak-jadid/profil/spieler/16896
Brescia Calcio,Cyril Gona,20,Nigeria,Defensive Midfield,DM,£72Th.,AC Lumezzane,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/cyril-gona/profil/spieler/16895
Brescia Calcio,Giordano Paganotto,20,Italy,defence,defence,-,AS Viterbese Calcio,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/giordano-paganotto/profil/spieler/277803
Atalanta BC,Andrea Ivan,32,Italy,Goalkeeper,GK,-,Delfino Pescara 1936,Italy,free transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/andrea-ivan/profil/spieler/35866
Atalanta BC,Nicola Ventola,27,Italy,Centre-Forward,CF,£3.60m,FC Internazionale,Italy,free transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/nicola-ventola/profil/spieler/5798
Atalanta BC,Andrea Lombardo,18,Canada,attack,attack,-,Perugia Calcio,Italy,loan transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/andrea-lombardo/profil/spieler/19774
Atalanta BC,Thomas Manfredini,25,Italy,Centre-Back,CB,£270Th.,Udinese Calcio,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/thomas-manfredini/profil/spieler/5889
Atalanta BC,Simone Loria,28,Italy,Centre-Back,CB,£720Th.,Cagliari Calcio,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/simone-loria/profil/spieler/20741
Atalanta BC,Luca Ariatti,26,Italy,Central Midfield,CM,£900Th.,ACF Fiorentina,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/luca-ariatti/profil/spieler/21142
Atalanta BC,Adriano,23,Brazil,Right-Back,RB,£720Th.,US Palermo,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/adriano/profil/spieler/25469
Atalanta BC,Andrea Soncin,26,Italy,Centre-Forward,CF,£180Th.,SS Virtus Lanciano,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/andrea-soncin/profil/spieler/21157
Atalanta BC,Ernesto Terra,27,Italy,Centre-Back,CB,£270Th.,Delfino Pescara 1936,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/ernesto-terra/profil/spieler/22095
Atalanta BC,Davide Bombardini,31,Italy,Left Midfield,LM,£180Th.,Salernitana Calcio 1919,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/davide-bombardini/profil/spieler/5956
Atalanta BC,Antonino D'Agostino,26,Italy,Right Midfield,RM,-,Treviso FBC 1993,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/antonino-dagostino/profil/spieler/23353
Atalanta BC,Michele Magrin,20,Italy,Central Midfield,CM,-,AC Monza Brianza,Italy,"End of loanMay 1, 2006",In,2005,s,serie-b,https://www.transfermarkt.co.uk/michele-magrin/profil/spieler/43013
