Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Ascoli Picchio,Leonardo Pérez,25,Italy,Centre-Forward,CF,£180Th.,AS Cittadella,Italy,£54Th.,In,2015,s,serie-b,https://www.transfermarkt.co.uk/leonardo-perez/profil/spieler/98854
Ascoli Picchio,Luca Antonini,33,Italy,Left-Back,LB,£450Th.,Genoa CFC,Italy,free transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/luca-antonini/profil/spieler/6792
Ascoli Picchio,Daniele Cacia,32,Italy,Centre-Forward,CF,£810Th.,Bologna FC 1909,Italy,free transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/daniele-cacia/profil/spieler/21780
Ascoli Picchio,Simone Pecorini,22,Italy,Right-Back,RB,£315Th.,AS Cittadella,Italy,£18Th.,In,2015,s,serie-b,https://www.transfermarkt.co.uk/simone-pecorini/profil/spieler/136124
Ascoli Picchio,Marco Frediani,21,Italy,Left Winger,LW,£293Th.,AS Roma,Italy,loan transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/marco-frediani/profil/spieler/198084
Ascoli Picchio,Jakub Jankto,19,Czech Republic,Left Midfield,LM,£90Th.,Udinese Calcio,Italy,loan transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/jakub-jankto/profil/spieler/319160
Ascoli Picchio,Tomas Svedkauskas,21,Lithuania,Goalkeeper,GK,£270Th.,AS Roma,Italy,loan transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/tomas-svedkauskas/profil/spieler/206844
Ascoli Picchio,Alberto Almici,22,Italy,Right-Back,RB,£450Th.,Atalanta BC,Italy,loan transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/alberto-almici/profil/spieler/163542
Ascoli Picchio,Valerio Nava,21,Italy,Right-Back,RB,£158Th.,Atalanta BC,Italy,loan transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/valerio-nava/profil/spieler/200117
Ascoli Picchio,Andrea Petagna,20,Italy,Centre-Forward,CF,£630Th.,AC Milan,Italy,loan transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/andrea-petagna/profil/spieler/199258
Ascoli Picchio,Milan Milanovic,24,Serbia,Centre-Back,CB,£270Th.,US Palermo,Italy,loan transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/milan-milanovic/profil/spieler/70574
Ascoli Picchio,Salvatore Caturano,25,Italy,Centre-Forward,CF,£383Th.,FC Bari 1908,Italy,loan transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/salvatore-caturano/profil/spieler/56898
Ascoli Picchio,Luigi Giorgi,28,Italy,Central Midfield,CM,£540Th.,Atalanta BC,Italy,loan transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/luigi-giorgi/profil/spieler/57389
Ascoli Picchio,Michele Canini,30,Italy,Centre-Back,CB,£720Th.,Atalanta BC,Italy,loan transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/michele-canini/profil/spieler/19438
Ascoli Picchio,Nicola Bellomo,24,Italy,Attacking Midfield,AM,£1.35m,Chievo Verona,Italy,loan transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/nicola-bellomo/profil/spieler/107958
Ascoli Picchio,Dario Del Fabro,20,Italy,Centre-Back,CB,£540Th.,Cagliari Calcio,Italy,loan transfer,In,2015,s,serie-b,https://www.transfermarkt.co.uk/dario-del-fabro/profil/spieler/110475
Ascoli Picchio,Mirko Ronchi,20,Italy,Goalkeeper,GK,£45Th.,US Salernitana 1919,Italy,"End of loanJun 30, 2015",In,2015,s,serie-b,https://www.transfermarkt.co.uk/mirko-ronchi/profil/spieler/267004
Ascoli Picchio,Stefano Scognamillo,21,Italy,Centre-Back,CB,£113Th.,SF Aversa Normanna,Italy,"End of loanJun 30, 2015",In,2015,s,serie-b,https://www.transfermarkt.co.uk/stefano-scognamillo/profil/spieler/142990
Ascoli Picchio,Lorenzo De Grazia,20,Italy,Central Midfield,CM,£45Th.,SS Maceratese,Italy,"End of loanJun 30, 2015",In,2015,s,serie-b,https://www.transfermarkt.co.uk/lorenzo-de-grazia/profil/spieler/240487
Ascoli Picchio,Ilario Iotti,20,Italy,Right Midfield,RM,£135Th.,Matelica Calcio,Italy,"End of loanJun 30, 2015",In,2015,s,serie-b,https://www.transfermarkt.co.uk/ilario-iotti/profil/spieler/240518
Ascoli Picchio,Matteo Nazziconi,19,Italy,Right Midfield,RM,-,SDMC Fermana FC,Italy,"End of loanJun 1, 2015",In,2015,s,serie-b,https://www.transfermarkt.co.uk/matteo-nazziconi/profil/spieler/405491
