Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Ravenna Calcio,Renato Olive,36,Italy,Central Midfield,CM,£360Th.,Bologna FC 1909,Italy,free transfer,In,2007,s,serie-b,https://www.transfermarkt.co.uk/renato-olive/profil/spieler/5998
Ravenna Calcio,Matteo Centurioni,33,Italy,Centre-Back,CB,£135Th.,Modena FC,Italy,free transfer,In,2007,s,serie-b,https://www.transfermarkt.co.uk/matteo-centurioni/profil/spieler/22104
Ravenna Calcio,Davide Nicola,34,Italy,Right-Back,RB,£450Th.,Spezia Calcio 1906,Italy,?,In,2007,s,serie-b,https://www.transfermarkt.co.uk/davide-nicola/profil/spieler/21826
Ravenna Calcio,Matteo Pivotto,32,Italy,Right-Back,RB,£90Th.,US Triestina,Italy,?,In,2007,s,serie-b,https://www.transfermarkt.co.uk/matteo-pivotto/profil/spieler/17150
Ravenna Calcio,Stefano Ferrario,22,Italy,Centre-Back,CB,-,Ternana Calcio,Italy,?,In,2007,s,serie-b,https://www.transfermarkt.co.uk/stefano-ferrario/profil/spieler/38647
Ravenna Calcio,Toledo,25,Brazil,Left Winger,LW,£270Th.,Taranto FC 1927,Italy,?,In,2007,s,serie-b,https://www.transfermarkt.co.uk/toledo/profil/spieler/25540
Ravenna Calcio,Stefano Pardini,31,Italy,Goalkeeper,GK,-,Carrarese Calcio 1908,Italy,?,In,2007,s,serie-b,https://www.transfermarkt.co.uk/stefano-pardini/profil/spieler/57833
Ravenna Calcio,Mohamed Fofana,22,France,Centre-Forward,CF,-,AS Cittadella,Italy,?,In,2007,s,serie-b,https://www.transfermarkt.co.uk/mohamed-fofana/profil/spieler/57802
Ravenna Calcio,Francesco Larosa,25,Italy,Centre-Back,CB,-,Taranto FC 1927,Italy,?,In,2007,s,serie-b,https://www.transfermarkt.co.uk/francesco-larosa/profil/spieler/57853
Ravenna Calcio,Francesco Virdis,22,Italy,Centre-Forward,CF,£45Th.,UC Sampdoria,Italy,loan transfer,In,2007,s,serie-b,https://www.transfermarkt.co.uk/francesco-virdis/profil/spieler/42814
