Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Ascoli Calcio,Riccardo Brosco,27,Italy,Centre-Back,CB,£675Th.,Hellas Verona,Italy,£180Th.,In,2018,s,serie-b,https://www.transfermarkt.co.uk/riccardo-brosco/profil/spieler/89034
Ascoli Calcio,Lorenzo Valeau,19,Italy,Left-Back,LB,£180Th.,Roma Primavera,Italy,loan transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/lorenzo-valeau/profil/spieler/357178
Ascoli Calcio,Alessandro Bacci,22,Italy,Goalkeeper,GK,£90Th.,SS Juve Stabia,Italy,free transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/alessandro-bacci/profil/spieler/209935
Ascoli Calcio,Mattia Scevola,21,Italy,Goalkeeper,GK,-,Campus Eur 1960,Italy,free transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/mattia-scevola/profil/spieler/611119
Ascoli Calcio,Nikola Ninkovic,23,Serbia,Left Winger,LW,£720Th.,Genoa CFC,Italy,free transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/nikola-ninkovic/profil/spieler/168944
Ascoli Calcio,Nahuel Valentini,29,Argentina,Centre-Back,CB,£450Th.,Real Oviedo,Spain,free transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/nahuel-valentini/profil/spieler/72471
Ascoli Calcio,Carte Said,21,Italy,Attacking Midfield,AM,£338Th.,FC Chiasso,Switzerland,free transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/carte-said/profil/spieler/337373
Ascoli Calcio,Salvatore D'Elia,29,Italy,Left-Back,LB,£360Th.,SSC Bari,Italy,free transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/salvatore-delia/profil/spieler/62365
Ascoli Calcio,Matteo Ardemagni,31,Italy,Centre-Forward,CF,£450Th.,US Avellino 1912,Italy,free transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/matteo-ardemagni/profil/spieler/85603
Ascoli Calcio,Maecky Ngombo,23,Belgium,Centre-Forward,CF,£270Th.,SSC Bari,Italy,free transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/maecky-ngombo/profil/spieler/403839
Ascoli Calcio,Tomasz Kupisz,28,Poland,Right Midfield,RM,£630Th.,RC Cesena,Italy,free transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/tomasz-kupisz/profil/spieler/45185
Ascoli Calcio,Pierre Desiré Zebli,20,Cote d'Ivoire,Defensive Midfield,DM,£900Th.,KRC Genk,Belgium,loan transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/pierre-desire-zebli/profil/spieler/335473
Ascoli Calcio,Filippo Perucchini,26,Italy,Goalkeeper,GK,£360Th.,Bologna FC 1909,Italy,?,In,2018,s,serie-b,https://www.transfermarkt.co.uk/filippo-perucchini/profil/spieler/88701
Ascoli Calcio,Davide Frattesi,18,Italy,Central Midfield,CM,£900Th.,US Sassuolo,Italy,loan transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/davide-frattesi/profil/spieler/394300
Ascoli Calcio,Giacomo Beretta,26,Italy,Centre-Forward,CF,£450Th.,Foggia Calcio,Italy,?,In,2018,s,serie-b,https://www.transfermarkt.co.uk/giacomo-beretta/profil/spieler/91241
Ascoli Calcio,Federico Casarini,28,Italy,Central Midfield,CM,£630Th.,Novara Calcio 1908,Italy,loan transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/federico-casarini/profil/spieler/56853
Ascoli Calcio,Gianmarco Ingrosso,29,Italy,Centre-Back,CB,£203Th.,AC Pisa 1909,Italy,loan transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/gianmarco-ingrosso/profil/spieler/61605
Ascoli Calcio,Keba Coly,20,Senegal,Left Winger,LW,£90Th.,Roma Primavera,Italy,loan transfer,In,2018,s,serie-b,https://www.transfermarkt.co.uk/keba-coly/profil/spieler/415454
Ascoli Calcio,Michele Cavion,23,Italy,Central Midfield,CM,£1.26m,US Cremonese,Italy,?,In,2018,s,serie-b,https://www.transfermarkt.co.uk/michele-cavion/profil/spieler/199971
Ascoli Calcio,Edoardo Tassi,20,Italy,Centre-Forward,CF,£90Th.,Ascoli Picchio Primavera,Italy,-,In,2018,s,serie-b,https://www.transfermarkt.co.uk/edoardo-tassi/profil/spieler/347587
Ascoli Calcio,Lorenzo Laverone,29,Italy,Right-Back,RB,£405Th.,,Without Club,-,In,2018,s,serie-b,https://www.transfermarkt.co.uk/lorenzo-laverone/profil/spieler/124155
Ascoli Calcio,Michele Troiano,33,Italy,Defensive Midfield,DM,£270Th.,,Without Club,-,In,2018,s,serie-b,https://www.transfermarkt.co.uk/michele-troiano/profil/spieler/28849
