Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
FC Messina Peloro,Salvatore Aronica,25,Italy,Centre-Back,CB,-,FC Crotone,Italy,£693Th.,In,2003,s,serie-b,https://www.transfermarkt.co.uk/salvatore-aronica/profil/spieler/19182
FC Messina Peloro,Rahman Rezaei,28,Iran,Centre-Back,CB,-,AC Perugia,Italy,free transfer,In,2003,s,serie-b,https://www.transfermarkt.co.uk/rahman-rezaei/profil/spieler/5218
FC Messina Peloro,Mamede,29,Portugal,Central Midfield,CM,-,Reggina Calcio,Italy,free transfer,In,2003,s,serie-b,https://www.transfermarkt.co.uk/mamede/profil/spieler/6072
FC Messina Peloro,Landry Bonnefoi,19,France,Goalkeeper,GK,-,Juventus FC,Italy,loan transfer,In,2003,s,serie-b,https://www.transfermarkt.co.uk/landry-bonnefoi/profil/spieler/19119
FC Messina Peloro,Igor Zaniolo,30,Italy,Centre-Forward,CF,-,Ternana Calcio,Italy,free transfer,In,2003,s,serie-b,https://www.transfermarkt.co.uk/igor-zaniolo/profil/spieler/19309
FC Messina Peloro,Esteban Herrera,22,Argentina,Centre-Forward,CF,-,Club Atlético Boca Juniors,Argentina,free transfer,In,2003,s,serie-b,https://www.transfermarkt.co.uk/esteban-herrera/profil/spieler/33708
FC Messina Peloro,Luigi Lavecchia,21,Italy,Right Midfield,RM,-,Juventus FC,Italy,loan transfer,In,2003,s,serie-b,https://www.transfermarkt.co.uk/luigi-lavecchia/profil/spieler/19244
FC Messina Peloro,Arturo Di Napoli,29,Italy,Centre-Forward,CF,-,US Palermo,Italy,?,In,2003,s,serie-b,https://www.transfermarkt.co.uk/arturo-di-napoli/profil/spieler/19123
FC Messina Peloro,Luca Fusco,25,Italy,Centre-Back,CB,-,US Salernitana,Italy,?,In,2003,s,serie-b,https://www.transfermarkt.co.uk/luca-fusco/profil/spieler/19219
FC Messina Peloro,Alessandro Parisi,26,Italy,Left-Back,LB,-,US Triestina,Italy,?,In,2003,s,serie-b,https://www.transfermarkt.co.uk/alessandro-parisi/profil/spieler/19132
FC Messina Peloro,Andrea Gentile,23,Italy,Central Midfield,CM,-,Juventus FC,Italy,?,In,2003,s,serie-b,https://www.transfermarkt.co.uk/andrea-gentile/profil/spieler/19220
FC Messina Peloro,Fabio Artico,29,Italy,Centre-Forward,CF,-,SP Ars et Labor,Italy,?,In,2003,s,serie-b,https://www.transfermarkt.co.uk/fabio-artico/profil/spieler/139294
FC Messina Peloro,Niccolò Guzzo,20,Italy,Right-Back,RB,-,Como Calcio,Italy,?,In,2003,s,serie-b,https://www.transfermarkt.co.uk/niccolo-guzzo/profil/spieler/173609
FC Messina Peloro,Tomás Guzmán,21,Paraguay,Attacking Midfield,AM,-,Juventus FC,Italy,loan transfer,In,2003,s,serie-b,https://www.transfermarkt.co.uk/tomas-guzman/profil/spieler/19228
FC Messina Peloro,Davide Arigò,18,Italy,Right Winger,RW,-,Messina Berretti,Italy,-,In,2003,s,serie-b,https://www.transfermarkt.co.uk/davide-arigo/profil/spieler/41056
