Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Ascoli Picchio,Andrea Favilli,20,Italy,Centre-Forward,CF,£1.80m,AS Livorno,Italy,£2.70m,In,2017,s,serie-b,https://www.transfermarkt.co.uk/andrea-favilli/profil/spieler/340151
Ascoli Picchio,Lorenzo Rosseti,23,Italy,Centre-Forward,CF,£720Th.,Juventus FC,Italy,£900Th.,In,2017,s,serie-b,https://www.transfermarkt.co.uk/lorenzo-rosseti/profil/spieler/176130
Ascoli Picchio,Ignacio Lores,26,Uruguay,Right Winger,RW,£360Th.,AC Pisa 1909,Italy,£450Th.,In,2017,s,serie-b,https://www.transfermarkt.co.uk/ignacio-lores/profil/spieler/139535
Ascoli Picchio,Fabio Castellano,19,Italy,Central Midfield,CM,£135Th.,Atalanta BC,Italy,£45Th.,In,2017,s,serie-b,https://www.transfermarkt.co.uk/fabio-castellano/profil/spieler/265074
Ascoli Picchio,Gianmarco De Feo,23,Italy,Right Winger,RW,£270Th.,Robur Siena,Italy,free transfer,In,2017,s,serie-b,https://www.transfermarkt.co.uk/gianmarco-de-feo/profil/spieler/199645
Ascoli Picchio,Daniele Buzzegoli,34,Italy,Central Midfield,CM,£180Th.,Benevento Calcio,Italy,free transfer,In,2017,s,serie-b,https://www.transfermarkt.co.uk/daniele-buzzegoli/profil/spieler/35717
Ascoli Picchio,Emanuele Padella,28,Italy,Centre-Back,CB,£225Th.,Benevento Calcio,Italy,free transfer,In,2017,s,serie-b,https://www.transfermarkt.co.uk/emanuele-padella/profil/spieler/160854
Ascoli Picchio,Claudio Santini,25,Italy,Second Striker,SS,£225Th.,US Città di Pontedera,Italy,?,In,2017,s,serie-b,https://www.transfermarkt.co.uk/claudio-santini/profil/spieler/281872
Ascoli Picchio,Christian D'Urso,19,Italy,Central Midfield,CM,£315Th.,AS Roma,Italy,loan transfer,In,2017,s,serie-b,https://www.transfermarkt.co.uk/christian-durso/profil/spieler/340444
Ascoli Picchio,Enrico Baldini,20,Italy,Left Winger,LW,£135Th.,Inter Milan,Italy,?,In,2017,s,serie-b,https://www.transfermarkt.co.uk/enrico-baldini/profil/spieler/262521
Ascoli Picchio,Ivan De Santis,20,Italy,Centre-Back,CB,£293Th.,AC Milan,Italy,?,In,2017,s,serie-b,https://www.transfermarkt.co.uk/ivan-de-santis/profil/spieler/264485
Ascoli Picchio,Luca Clemenza,20,Italy,Attacking Midfield,AM,£540Th.,Juventus Primavera,Italy,loan transfer,In,2017,s,serie-b,https://www.transfermarkt.co.uk/luca-clemenza/profil/spieler/291520
Ascoli Picchio,Giovanni Pinto,25,Italy,Left-Back,LB,£158Th.,Parma Calcio 1913,Italy,loan transfer,In,2017,s,serie-b,https://www.transfermarkt.co.uk/giovanni-pinto/profil/spieler/397797
Ascoli Picchio,Matteo Perri,18,Italy,Left-Back,LB,£68Th.,Ascoli Picchio Primavera,Italy,-,In,2017,s,serie-b,https://www.transfermarkt.co.uk/matteo-perri/profil/spieler/410473
Ascoli Picchio,Lorenzo De Grazia,22,Italy,Central Midfield,CM,£158Th.,SS Maceratese,Italy,"End of loanJun 30, 2017",In,2017,s,serie-b,https://www.transfermarkt.co.uk/lorenzo-de-grazia/profil/spieler/240487
Ascoli Picchio,Andrea D'Egidio,21,Italy,Goalkeeper,GK,£45Th.,SS Matera Calcio,Italy,"End of loanJun 30, 2017",In,2017,s,serie-b,https://www.transfermarkt.co.uk/andrea-degidio/profil/spieler/331062
Ascoli Picchio,Samuele Parlati,20,Italy,Central Midfield,CM,£113Th.,Paganese Calcio 1926,Italy,"End of loanJun 30, 2017",In,2017,s,serie-b,https://www.transfermarkt.co.uk/samuele-parlati/profil/spieler/362709
Ascoli Picchio,Danilo Quaranta,20,Italy,Centre-Back,CB,£68Th.,Olbia Calcio 1905,Italy,"End of loanJun 30, 2017",In,2017,s,serie-b,https://www.transfermarkt.co.uk/danilo-quaranta/profil/spieler/396307
Ascoli Picchio,Filippo Florio,21,Italy,Right-Back,RB,£135Th.,Santarcangelo Calcio,Italy,"End of loanJun 30, 2017",In,2017,s,serie-b,https://www.transfermarkt.co.uk/filippo-florio/profil/spieler/288211
Ascoli Picchio,Sulayman Jallow,20,The Gambia,Centre-Forward,CF,£45Th.,AS Viterbese Castrense,Italy,"End of loanJun 30, 2017",In,2017,s,serie-b,https://www.transfermarkt.co.uk/sulayman-jallow/profil/spieler/388258
Ascoli Picchio,Luca Iotti,21,Italy,Centre-Back,CB,£45Th.,Olbia Calcio 1905,Italy,"End of loanJun 30, 2017",In,2017,s,serie-b,https://www.transfermarkt.co.uk/luca-iotti/profil/spieler/202977
Ascoli Picchio,Manuel Manari,19,Italy,Left Winger,LW,£113Th.,SS Juve Stabia,Italy,"End of loanJun 30, 2017",In,2017,s,serie-b,https://www.transfermarkt.co.uk/manuel-manari/profil/spieler/396311
Ascoli Picchio,Ilario Iotti,22,Italy,Right Midfield,RM,£68Th.,ASD Monticelli,Italy,"End of loanJun 30, 2017",In,2017,s,serie-b,https://www.transfermarkt.co.uk/ilario-iotti/profil/spieler/240518
