Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Calcio Padova,Armando Perna,32,Italy,Centre-Back,CB,£225Th.,Modena FC,Italy,free transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/armando-perna/profil/spieler/21188
Calcio Padova,Francesco Modesto,31,Italy,Left-Back,LB,£720Th.,Parma FC,Italy,free transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/francesco-modesto/profil/spieler/22320
Calcio Padova,Cristian Pasquato,24,Italy,Second Striker,SS,£1.17m,Udinese Calcio,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/cristian-pasquato/profil/spieler/62379
Calcio Padova,Róbert Feczesin,27,Hungary,Centre-Forward,CF,£450Th.,Ascoli Calcio 1898,Italy,free transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/robert-feczesin/profil/spieler/22662
Calcio Padova,Federico Melchiorri,26,Italy,Centre-Forward,CF,£225Th.,SS Maceratese,Italy,free transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/federico-melchiorri/profil/spieler/46060
Calcio Padova,Zsolt Laczkó,26,Hungary,Left-Back,LB,£405Th.,UC Sampdoria,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/zsolt-laczko/profil/spieler/43333
Calcio Padova,Luca Mazzoni,29,Italy,Goalkeeper,GK,£225Th.,AS Livorno,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/luca-mazzoni/profil/spieler/28023
Calcio Padova,Vedran Celjak,21,Croatia,Right-Back,RB,£180Th.,UC Sampdoria,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/vedran-celjak/profil/spieler/86640
Calcio Padova,Gianluca Musacci,26,Italy,Central Midfield,CM,£450Th.,Parma FC,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/gianluca-musacci/profil/spieler/71302
Calcio Padova,Filippo Carini,22,Italy,Centre-Back,CB,£225Th.,Modena FC,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/filippo-carini/profil/spieler/120688
Calcio Padova,Fabiano Santacroce,26,Italy,Centre-Back,CB,£540Th.,Parma FC,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/fabiano-santacroce/profil/spieler/56817
Calcio Padova,Jerry Mbakogu,20,Nigeria,Centre-Forward,CF,£1.35m,SS Juve Stabia,Italy,?,In,2013,s,serie-b,https://www.transfermarkt.co.uk/jerry-mbakogu/profil/spieler/130382
Calcio Padova,Simone Benedetti,21,Italy,Centre-Back,CB,£720Th.,FC Internazionale,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/simone-benedetti/profil/spieler/99923
Calcio Padova,Álvaro Ampuero,20,Peru,Left-Back,LB,£630Th.,Parma FC,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/alvaro-ampuero/profil/spieler/195002
Calcio Padova,Camillo Ciano,23,Italy,Centre-Forward,CF,£990Th.,SSC Napoli,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/camillo-ciano/profil/spieler/61511
Calcio Padova,Simone Colombi,22,Italy,Goalkeeper,GK,£1.17m,Atalanta BC,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/simone-colombi/profil/spieler/57285
Calcio Padova,Luca Ceccarelli,30,Italy,Right-Back,RB,£405Th.,AC Cesena,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/luca-ceccarelli/profil/spieler/41994
Calcio Padova,Alessandro Bellemo,17,Italy,Central Midfield,CM,£68Th.,Padova Primavera,Italy,-,In,2013,s,serie-b,https://www.transfermarkt.co.uk/alessandro-bellemo/profil/spieler/241052
Calcio Padova,Alberto Barison,18,Italy,Centre-Back,CB,£45Th.,Padova Primavera,Italy,-,In,2013,s,serie-b,https://www.transfermarkt.co.uk/alberto-barison/profil/spieler/199940
Calcio Padova,Davide Voltan,18,Italy,Attacking Midfield,AM,£90Th.,Padova Primavera,Italy,-,In,2013,s,serie-b,https://www.transfermarkt.co.uk/davide-voltan/profil/spieler/199947
Calcio Padova,Igor Radrezza,20,Italy,Attacking Midfield,AM,£90Th.,FC Castiglione,Italy,"End of loanJun 30, 2013",In,2013,s,serie-b,https://www.transfermarkt.co.uk/igor-radrezza/profil/spieler/167330
Calcio Padova,Christian Beccaro,20,Italy,Left-Back,LB,£45Th.,Aurora Pro Patria,Italy,"End of loanJun 30, 2013",In,2013,s,serie-b,https://www.transfermarkt.co.uk/christian-beccaro/profil/spieler/167307
Calcio Padova,Daniele Ruffato,19,Italy,Goalkeeper,GK,£45Th.,Santarcangelo Calcio,Italy,"End of loanJun 30, 2013",In,2013,s,serie-b,https://www.transfermarkt.co.uk/daniele-ruffato/profil/spieler/167333
Calcio Padova,Adama Diakite,19,Cote d'Ivoire,Centre-Forward,CF,£90Th.,UC AlbinoLeffe,Italy,"End of loanJun 30, 2013",In,2013,s,serie-b,https://www.transfermarkt.co.uk/adama-diakite/profil/spieler/120884
Calcio Padova,Andrea Boscaro,21,Italy,Centre-Back,CB,£68Th.,Feralpisalò,Italy,"End of loanJun 30, 2013",In,2013,s,serie-b,https://www.transfermarkt.co.uk/andrea-boscaro/profil/spieler/167312
Calcio Padova,Filippo Talato,21,Italy,Second Striker,SS,£45Th.,FC Castiglione,Italy,"End of loanJun 30, 2013",In,2013,s,serie-b,https://www.transfermarkt.co.uk/filippo-talato/profil/spieler/167335
Calcio Padova,Nicola Maniero,21,Italy,Centre-Back,CB,£45Th.,AC Bellaria Igea Marina,Italy,"End of loanJun 30, 2013",In,2013,s,serie-b,https://www.transfermarkt.co.uk/nicola-maniero/profil/spieler/163171
Calcio Padova,Vicente,24,Brazil,Defensive Midfield,DM,£180Th.,POFK Botev Vratsa,Bulgaria,"End of loanJun 30, 2013",In,2013,s,serie-b,https://www.transfermarkt.co.uk/vicente/profil/spieler/102471
Calcio Padova,Wilfred Osuji,22,Nigeria,Defensive Midfield,DM,£540Th.,Modena FC,Italy,"End of loanJun 30, 2013",In,2013,s,serie-b,https://www.transfermarkt.co.uk/wilfred-osuji/profil/spieler/88699
Calcio Padova,Andrea Bilato,19,Italy,defence,defence,£68Th.,AC Este 1920,Italy,"End of loanJun 30, 2013",In,2013,s,serie-b,https://www.transfermarkt.co.uk/andrea-bilato/profil/spieler/167310
Calcio Padova,Ousmane Dramé,20,France,Left Winger,LW,£360Th.,US Lecce,Italy,"End of loanJun 30, 2013",In,2013,s,serie-b,https://www.transfermarkt.co.uk/ousmane-drame/profil/spieler/167317
US Latina Calcio,Wojciech Pawlowski,20,Poland,Goalkeeper,GK,£450Th.,Udinese Calcio,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/wojciech-pawlowski/profil/spieler/138456
US Latina Calcio,Andrea Esposito,27,Italy,Centre-Back,CB,£360Th.,US Lecce,Italy,free transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/andrea-esposito/profil/spieler/35849
US Latina Calcio,Marco Baldan,19,Italy,Centre-Back,CB,£270Th.,ASG Nocerina,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/marco-baldan/profil/spieler/160322
US Latina Calcio,Marco Crimi,23,Italy,Central Midfield,CM,£540Th.,US Grosseto FC,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/marco-crimi/profil/spieler/149526
US Latina Calcio,Dario Maltese,20,Italy,Defensive Midfield,DM,£360Th.,US Palermo,Italy,?,In,2013,s,serie-b,https://www.transfermarkt.co.uk/dario-maltese/profil/spieler/163168
US Latina Calcio,Alberto Massacci,20,Italy,Centre-Back,CB,£68Th.,Modena FC,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/alberto-massacci/profil/spieler/118086
US Latina Calcio,Abdelkader Ghezzal,28,Algeria,Centre-Forward,CF,£720Th.,Parma FC,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/abdelkader-ghezzal/profil/spieler/76406
US Latina Calcio,Jonathas,24,Brazil,Centre-Forward,CF,£1.44m,Delfino Pescara 1936,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/jonathas/profil/spieler/58345
US Latina Calcio,Giuseppe Figliomeni,26,Italy,Centre-Back,CB,£180Th.,SS Juve Stabia,Italy,?,In,2013,s,serie-b,https://www.transfermarkt.co.uk/giuseppe-figliomeni/profil/spieler/85043
US Latina Calcio,Stefano Morrone,34,Italy,Central Midfield,CM,£180Th.,Parma FC,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/stefano-morrone/profil/spieler/6722
US Latina Calcio,Masahudu Alhassan,20,Ghana,Left-Back,LB,£450Th.,Udinese Calcio,Italy,loan transfer,In,2013,s,serie-b,https://www.transfermarkt.co.uk/masahudu-alhassan/profil/spieler/172338
